"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","checkpoint_interval","command","dataset","epoch_size","epochs","feature_set","gamma","l1_size","l2_size","learning_rate","method","metric.goal","metric.name","name","notes","num_features","parameters.batch_sizes","parameters.epochss","parameters.feature_sets","parameters.gammas","parameters.l1_sizes","parameters.l2_sizes","parameters.learning_rates","parameters.runs","parameters.wandb_projects","perf_interval","program","puzzle_interval","run","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/bishopEndgame","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleCheck","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/middlegame","Puzzles/moveAccuracy.max","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/lr","Train/samples","Train/train_loss.min","Train/val_loss.min","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"2-eval_16384_(all+mb[1536]→512)x2→32→1","","finished","-","","","2024-10-21T15:25:55.000Z","10309","4v4g0mj8","2-eval_16384_(all+mb[1536]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mb","0.99","512","32","0.0005","eval","","","","","1536","","","","","","","","","","0","","64","2","cs-master-thesis","0.7492537313432835","0.745575221238938","0.6888888888888889","0.7393939393939394","0.6867469879518072","0.8526315789473684","0.6808510638297872","0.4534883720930232","0.7029077117572693","0.5198863636363636","0.7516339869281046","0.7952380952380952","0.7894736842105263","0.7058823529411765","0.7139344262295082","0.8888888888888888","0.6139240506329114","0.8421052631578947","0.8316831683168316","0.8068181818181818","0.7802197802197802","0.6666666666666666","0.7176470588235294","0.6864988558352403","0.7672955974842768","0.7843137254901961","0.7234944868532655","0.8751346982758621","0.7964071856287425","0.573170731707317","0.6787330316742082","0.7955801104972375","0.7083333333333334","0.8823529411764706","0.8048780487804879","0.4078431372549019","0.9541284403669724","0.9637096774193548","0.9407894736842104","0.8831615120274914","0.8259493670886076","0.7329192546583851","0.6376306620209059","0.463302752293578","0.2983425414364641","0.1813186813186813","0.6641221374045801","0.5900383141762452","0.8595890410958904","0.8021978021978022","0.7792207792207793","0.8494623655913979","0.8048780487804879","0.4838095238095238","0.8636363636363636","0.4117647058823529","0.00003815749195329693","25702039552","0.0027666184369570467","0.002824496358118046","-0.02324729785323143","-0.015407317318022253","-6.112001419067383"
"4-eval_16384_(all+mc[974]→512)x2→32→1","","finished","-","","","2024-10-21T05:11:35.000Z","8519","4v4g0mj8","4-eval_16384_(all+mc[974]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mc","0.99","512","32","0.0005","eval","","","","","974","","","","","","","","","","0","","64","4","cs-master-thesis","0.7134328358208956","0.7389380530973452","0.7111111111111111","0.7090909090909091","0.7228915662650602","0.8526315789473684","0.648936170212766","0.5116279069767442","0.7098609355246523","0.5738636363636364","0.7320261437908496","0.8095238095238095","0.7894736842105263","0.6941176470588235","0.7229508196721312","0.925925925925926","0.6265822784810127","0.8333333333333334","0.8811881188118812","0.7954545454545454","0.8681318681318682","0.6111111111111112","0.7411764705882353","0.7013729977116705","0.779874213836478","0.7843137254901961","0.72264631043257","0.8739224137931034","0.7904191616766467","0.5487804878048781","0.6606334841628959","0.7679558011049724","0.6458333333333334","1","0.6829268292682927","0.4","0.963302752293578","0.9637096774193548","0.9375","0.9072164948453608","0.8259493670886076","0.7298136645962733","0.6724738675958188","0.4541284403669725","0.287292817679558","0.15384615384615383","0.6946564885496184","0.5440613026819924","0.8690068493150684","0.7802197802197802","0.8181818181818182","0.8387096774193549","0.7804878048780488","0.4533333333333333","0.8409090909090909","0.4705882352941176","0.00003815749195329693","25702039552","0.0029989194340755503","0.003032480405032327","-0.020393170416355133","-0.00973653793334961","6.5093584060668945"
"3-eval_16384_(all+mc[974]→512)x2→32→1","","finished","-","","","2024-10-21T02:32:32.000Z","9535","4v4g0mj8","3-eval_16384_(all+mc[974]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mc","0.99","512","32","0.0005","eval","","","","","974","","","","","","","","","","0","","64","3","cs-master-thesis","0.7044776119402985","0.7599557522123894","0.7333333333333333","0.696969696969697","0.6506024096385542","0.8526315789473684","0.6702127659574468","0.4534883720930232","0.6991150442477876","0.5482954545454546","0.7124183006535948","0.819047619047619","0.7105263157894737","0.6941176470588235","0.7245901639344262","0.9135802469135802","0.6518987341772152","0.8421052631578947","0.801980198019802","0.7613636363636364","0.8461538461538461","0.6111111111111112","0.7764705882352941","0.7093821510297483","0.7735849056603774","0.803921568627451","0.7251908396946565","0.8745959051724138","0.7664670658682635","0.6036585365853658","0.6923076923076923","0.7624309392265194","0.75","0.8823529411764706","0.7804878048780488","0.4352941176470588","0.944954128440367","0.9717741935483872","0.950657894736842","0.8969072164948454","0.8354430379746836","0.7142857142857143","0.6655052264808362","0.44954128440366975","0.32044198895027626","0.15934065934065933","0.6564885496183206","0.5593869731800766","0.8587328767123288","0.8131868131868132","0.7922077922077922","0.8709677419354839","0.7804878048780488","0.4647619047619048","0.8181818181818182","0.4941176470588235","0.00003815749195329693","25702039552","0.0030058455342386616","0.0030404969560131625","-0.019246872514486313","-0.01044268812984228","10.7675142288208"
"2-eval_16384_(all+mc[974]→512)x2→32→1","","finished","-","","","2024-10-21T00:09:28.000Z","8575","4v4g0mj8","2-eval_16384_(all+mc[974]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mc","0.99","512","32","0.0005","eval","","","","","974","","","","","","","","","","0","","64","2","cs-master-thesis","0.6985074626865672","0.7577433628318584","0.7555555555555555","0.696969696969697","0.6867469879518072","0.8736842105263158","0.6595744680851063","0.5","0.6972187104930467","0.53125","0.7124183006535948","0.8047619047619048","0.6842105263157895","0.7176470588235294","0.7188524590163935","0.8518518518518519","0.6265822784810127","0.8304093567251462","0.801980198019802","0.7840909090909091","0.8681318681318682","0.6031746031746031","0.7411764705882353","0.7025171624713958","0.7704402515723271","0.7843137254901961","0.719253604749788","0.8719019396551724","0.7904191616766467","0.5365853658536586","0.6832579185520362","0.7458563535911602","0.6666666666666666","0.9411764705882352","0.7560975609756098","0.38823529411764707","0.963302752293578","0.9798387096774194","0.930921052631579","0.8865979381443299","0.8607594936708861","0.7422360248447205","0.662020905923345","0.4541284403669725","0.20994475138121543","0.13736263736263735","0.7022900763358778","0.5517241379310345","0.860445205479452","0.8021978021978022","0.7922077922077922","0.8817204301075269","0.7317073170731707","0.4533333333333333","0.9090909090909092","0.4235294117647059","0.00003815749195329693","25702039552","0.003011751097830215","0.003059792824484196","-0.02084995247423649","0.0249301940202713","1.746077537536621"
"1-eval_16384_(all+mc[974]→512)x2→32→1","","finished","-","","","2024-10-20T21:46:22.000Z","8580","4v4g0mj8","1-eval_16384_(all+mc[974]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mc","0.99","512","32","0.0005","eval","","","","","974","","","","","","","","","","0","","64","1","cs-master-thesis","0.6716417910447762","0.7444690265486725","0.7111111111111111","0.6909090909090909","0.6265060240963856","0.8631578947368421","0.6702127659574468","0.4418604651162791","0.6731984829329962","0.5142045454545454","0.7189542483660131","0.7571428571428571","0.7368421052631579","0.6705882352941176","0.6901639344262295","0.8518518518518519","0.5886075949367089","0.8216374269005848","0.7920792079207921","0.75","0.8791208791208791","0.6190476190476191","0.6705882352941176","0.6739130434782609","0.7358490566037735","0.7843137254901961","0.7065309584393554","0.8706896551724138","0.7904191616766467","0.5304878048780488","0.665158371040724","0.7182320441988951","0.625","0.9117647058823528","0.7560975609756098","0.34509803921568627","0.9541284403669724","0.9596774193548387","0.9342105263157896","0.8969072164948454","0.8037974683544303","0.7204968944099379","0.5993031358885017","0.3853211009174312","0.24861878453038672","0.15934065934065933","0.6793893129770993","0.5325670498084292","0.848458904109589","0.8131868131868132","0.7532467532467533","0.8817204301075269","0.7439024390243902","0.4323809523809524","0.8409090909090909","0.4","0.00003815749195329693","25702039552","0.003011605798348914","0.0030450267044620383","-0.02067607454955578","0.022999480366706848","-0.13281631469726562"
"4-eval_16384_(all+mb[1536]→512)x2→32→1","","finished","-","","","2024-10-20T18:52:49.000Z","10404","4v4g0mj8","4-eval_16384_(all+mb[1536]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mb","0.99","512","32","0.0005","eval","","","","","1536","","","","","","","","","","0","","64","4","cs-master-thesis","0.7343283582089553","0.7466814159292036","0.8","0.7454545454545455","0.6987951807228916","0.8315789473684211","0.648936170212766","0.4418604651162791","0.7092288242730721","0.5596590909090909","0.7320261437908496","0.7904761904761904","0.7368421052631579","0.7058823529411765","0.7254098360655737","0.9012345679012346","0.6139240506329114","0.8333333333333334","0.8316831683168316","0.8181818181818182","0.8571428571428571","0.6349206349206349","0.788235294117647","0.7082379862700229","0.7484276729559748","0.7647058823529411","0.720949957591179","0.8778286637931034","0.8083832335329342","0.6097560975609756","0.6787330316742082","0.7845303867403315","0.7083333333333334","0.9117647058823528","0.8048780487804879","0.4","0.9678899082568808","0.9637096774193548","0.9177631578947368","0.8831615120274914","0.8575949367088608","0.7298136645962733","0.6550522648083623","0.43577981651376146","0.3314917127071823","0.19230769230769232","0.6717557251908397","0.5938697318007663","0.8450342465753424","0.8021978021978022","0.7532467532467533","0.8602150537634409","0.8048780487804879","0.5028571428571429","0.8863636363636364","0.4470588235294118","0.00003815749195329693","25702039552","0.002787904515409315","0.0028277367572432494","-0.020305268466472626","-0.010242067277431488","9.959619522094728"
"3-eval_16384_(all+mb[1536]→512)x2→32→1","","finished","-","","","2024-10-20T16:02:46.000Z","10198","4v4g0mj8","3-eval_16384_(all+mb[1536]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mb","0.99","512","32","0.0005","eval","","","","","1536","","","","","","","","","","0","","64","3","cs-master-thesis","0.7343283582089553","0.7566371681415929","0.7777777777777778","0.7515151515151515","0.7349397590361446","0.9052631578947368","0.6595744680851063","0.4418604651162791","0.7092288242730721","0.5539772727272727","0.7516339869281046","0.8","0.7368421052631579","0.6588235294117647","0.7172131147540983","0.8888888888888888","0.6645569620253164","0.847953216374269","0.8316831683168316","0.7840909090909091","0.8351648351648352","0.6666666666666666","0.7647058823529411","0.7242562929061785","0.7641509433962265","0.803921568627451","0.7370653095843935","0.8758081896551724","0.8023952095808383","0.5548780487804879","0.6923076923076923","0.8066298342541437","0.625","0.8529411764705882","0.8048780487804879","0.4078431372549019","0.9495412844036696","0.967741935483871","0.930921052631579","0.8865979381443299","0.8544303797468354","0.7515527950310559","0.6759581881533101","0.44495412844036697","0.3149171270718232","0.16483516483516483","0.6946564885496184","0.6091954022988506","0.8544520547945206","0.8241758241758241","0.8051948051948052","0.8279569892473119","0.7926829268292683","0.4704761904761905","0.8409090909090909","0.4705882352941176","0.00003815749195329693","25702039552","0.002758311741401931","0.0028118568223489578","-0.021472236141562465","-0.008457018062472343","5.797687530517578"
"1-eval_16384_(all+mb[1536]→512)x2→32→1","","finished","-","","","2024-10-20T07:19:39.000Z","9975","4v4g0mj8","1-eval_16384_(all+mb[1536]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+mb","0.99","512","32","0.0005","eval","","","","","1536","","","","","","","","","","0","","64","1","cs-master-thesis","0.7194029850746269","0.745575221238938","0.6666666666666666","0.7151515151515152","0.7228915662650602","0.8842105263157894","0.648936170212766","0.46511627906976744","0.7085967130214917","0.5710227272727273","0.7712418300653595","0.7761904761904762","0.7368421052631579","0.6588235294117647","0.7237704918032787","0.8765432098765432","0.620253164556962","0.8421052631578947","0.801980198019802","0.8068181818181818","0.8571428571428571","0.6349206349206349","0.788235294117647","0.7208237986270023","0.7484276729559748","0.7745098039215687","0.720949957591179","0.8741918103448276","0.7964071856287425","0.5670731707317073","0.665158371040724","0.7845303867403315","0.75","0.9411764705882352","0.7804878048780488","0.41568627450980394","0.9495412844036696","0.967741935483871","0.924342105263158","0.9003436426116839","0.8227848101265823","0.7329192546583851","0.662020905923345","0.463302752293578","0.3259668508287293","0.16483516483516483","0.6641221374045801","0.5747126436781609","0.8493150684931506","0.7912087912087912","0.7662337662337663","0.8709677419354839","0.7804878048780488","0.4647619047619048","0.8636363636363636","0.4352941176470588","0.00003815749195329693","25702039552","0.0027684903971247894","0.0028086964910951","-0.021153999492526054","-0.015649454668164253","11.643036842346191"
