"Name","Puzzles/moveAccuracy.max","Train/loss.min","num_features","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch-size","batch_size","batches_per_epoch","batches_per_step","checkpoint_interval","command","feature-set","feature_set","ft-size","ft_size","l1-size","l1_size","l2-size","l2_size","learning-rate","learning_rate","max_samples","method","metric.goal","metric.name","name","parameters.batch-sizes","parameters.batch_sizes","parameters.feature-sets","parameters.feature_sets","parameters.ft-sizes","parameters.ft_sizes","parameters.l1-sizes","parameters.l1_sizes","parameters.l2-sizes","parameters.l2_sizes","parameters.learning-rates","parameters.learning_rates","parameters.wandb-projects","parameters.wandb_projects","program","puzzle_interval","steps","wandb-project","wandb_project","Puzzles/accuracy","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/anastasiaMate","Puzzles/arabianMate","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/backRankMate","Puzzles/bishopEndgame","Puzzles/bodenMate","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleBishopMate","Puzzles/doubleCheck","Puzzles/dovetailMate","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/hookMate","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/mate","Puzzles/mateIn1","Puzzles/mateIn2","Puzzles/mateIn3","Puzzles/mateIn4","Puzzles/mateIn5","Puzzles/middlegame","Puzzles/oneMove","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating200to399","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rating400to599","Puzzles/rating600to799","Puzzles/rating800to999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/smotheredMate","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/loss","Train/lr","Train/samples","Weight/mean-f1","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"eval_4096_vd1+hd2[2880]->256x2->32->32","0.8317618534482759","0.014194343460985692","2880","","finished","-","","","2024-08-17T14:45:48.000Z","1454","t7p4kliv","","4096","","","16","","","vd1+hd2","","256","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5701492537313433","0.7112831858407079","","","0.6888888888888889","0.5878787878787879","","0.4939759036144578","","0.8105263157894737","0.7127659574468085","0.4534883720930232","0.5948166877370418","0.4460227272727273","0.5882352941176471","0.7619047619047619","","0.631578947368421","","0.6705882352941176","0.5811475409836065","0.8395061728395061","0.5","0.783625730994152","0.7623762376237624","","0.7386363636363636","0.8351648351648352","0.6428571428571429","0.4588235294117647","0.61441647597254","0.6635220125786163","0.6764705882352942","","","","","","","0.6870229007633588","","0.7904191616766467","0.35365853658536583","0.6561085972850679","0.5911602209944752","0.6458333333333334","0.7352941176470589","0.5853658536585366","0.26666666666666666","0.9311926605504588","0.9516129032258064","0.8651315789473685","0.8625429553264605","0.75","0.6304347826086957","","0.4982578397212544","0.30275229357798167","0.19337016574585636","0.08241758241758242","","","","0.4885496183206106","0.46360153256704983","0.8022260273972602","0.7912087912087912","","0.7402597402597403","0.7849462365591398","0.6463414634146342","0.33904761904761904","0.8181818181818182","0.3411764705882353","","2.366630730522683e-8","1074790400","-0.02350085973739624","-0.005488877184689045","0.003361965529620647","0.017518043518066406"
"eval_4096_hv+h+v[960]->2048x2->32->32","0.8302801724137931","0.0119148495105037","960","","finished","-","","","2024-08-16T21:35:56.000Z","3206","t7p4kliv","","4096","","","16","","","hv+h+v","","2048","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.591044776119403","0.6913716814159292","","","0.7111111111111111","0.593939393939394","","0.5301204819277109","","0.7894736842105263","0.5425531914893617","0.4418604651162791","0.599873577749684","0.4545454545454546","0.6405228758169934","0.7380952380952381","","0.6578947368421053","","0.6588235294117647","0.6","0.8518518518518519","0.47468354430379744","0.7894736842105263","0.7920792079207921","","0.6590909090909091","0.7802197802197802","0.5634920634920635","0.5058823529411764","0.6167048054919908","0.6729559748427673","0.7058823529411765","","","","","","","0.6666666666666666","","0.7425149700598802","0.3902439024390244","0.6244343891402715","0.6132596685082873","0.6666666666666666","0.7352941176470589","0.5121951219512195","0.2823529411764706","0.926605504587156","0.939516129032258","0.8651315789473685","0.8487972508591065","0.75","0.6242236024844721","","0.5017421602787456","0.29357798165137616","0.19337016574585636","0.0934065934065934","","","","0.5343511450381679","0.4789272030651341","0.797945205479452","0.7362637362637363","","0.7402597402597403","0.7741935483870968","0.6585365853658537","0.32761904761904764","0.75","0.4117647058823529","","2.366630730522683e-8","1074790400","-0.053873129189014435","-0.002408201340585947","0.0008604316972196102","-0.050038162618875504"
"eval_4096_hv+h+v[960]->512x2->32->32","0.8263739224137931","0.012878564491984434","960","","finished","-","","","2024-08-16T20:30:15.000Z","1559","t7p4kliv","","4096","","","16","","","hv+h+v","","512","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5552238805970149","0.6924778761061947","","","0.6666666666666666","0.6060606060606061","","0.43373493975903615","","0.8210526315789474","0.7127659574468085","0.4069767441860465","0.5967130214917825","0.46875","0.6470588235294118","0.6952380952380952","","0.5789473684210527","","0.6470588235294118","0.5901639344262295","0.7777777777777778","0.4556962025316456","0.7631578947368421","0.7920792079207921","","0.6931818181818182","0.8021978021978022","0.5634920634920635","0.4705882352941176","0.6109839816933639","0.6477987421383647","0.7058823529411765","","","","","","","0.6726039016115352","","0.7125748502994012","0.4146341463414634","0.6018099547511312","0.6077348066298343","0.5833333333333334","0.7352941176470589","0.6097560975609756","0.28627450980392155","0.9128440366972476","0.9153225806451613","0.8618421052631579","0.8178694158075601","0.7215189873417721","0.6335403726708074","","0.5087108013937283","0.3348623853211009","0.20441988950276244","0.1043956043956044","","","","0.5114503816793893","0.4827586206896552","0.7919520547945206","0.7252747252747253","","0.7272727272727273","0.7956989247311828","0.6585365853658537","0.3314285714285714","0.7045454545454546","0.35294117647058826","","2.366630730522683e-8","1074790400","-0.04258265718817711","-0.0074971397407352924","-0.006757073104381561","-0.043486740440130234"
"eval_4096_hv+h+v[960]->256x2->32->32","0.826104525862069","0.014303754214779474","960","","finished","-","","","2024-08-16T20:05:25.000Z","1486","t7p4kliv","","4096","","","16","","","hv+h+v","","256","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5552238805970149","0.6858407079646017","","","0.6444444444444445","0.6","","0.43373493975903615","","0.7578947368421053","0.7021276595744681","0.36046511627906974","0.5783817951959545","0.4204545454545454","0.6405228758169934","0.7142857142857143","","0.6052631578947368","","0.6352941176470588","0.5721311475409836","0.7530864197530864","0.4683544303797468","0.7719298245614035","0.7821782178217822","","0.6931818181818182","0.8241758241758241","0.5555555555555556","0.4352941176470588","0.6018306636155606","0.6446540880503144","0.6470588235294118","","","","","","","0.6590330788804071","","0.7245508982035929","0.4329268292682927","0.583710407239819","0.580110497237569","0.5208333333333334","0.7647058823529411","0.6097560975609756","0.26666666666666666","0.9128440366972476","0.9193548387096774","0.8552631578947368","0.7903780068728522","0.7120253164556962","0.577639751552795","","0.5156794425087108","0.27522935779816515","0.2430939226519337","0.08791208791208792","","","","0.4885496183206106","0.4367816091954023","0.7705479452054794","0.7582417582417582","","0.7012987012987013","0.7741935483870968","0.6341463414634146","0.3238095238095238","0.75","0.4235294117647059","","2.366630730522683e-8","1074790400","-0.027418646961450577","-0.002323371823877096","-0.0032331154216080904","-0.040230173617601395"
"eval_4096_hv+h+v+d1+d2[1320]->2048x2->32->32","0.8259698275862069","0.01252481534902472","1320","","finished","-","","","2024-08-17T10:54:54.000Z","4237","t7p4kliv","","4096","","","16","","","hv+h+v+d1+d2","","2048","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5940298507462687","0.706858407079646","","","0.5777777777777777","0.5818181818181818","","0.4819277108433735","","0.7684210526315789","0.5957446808510638","0.4186046511627907","0.5865992414664981","0.4289772727272727","0.5816993464052288","0.7238095238095238","","0.6052631578947368","","0.7176470588235294","0.5770491803278689","0.8024691358024691","0.5189873417721519","0.783625730994152","0.7920792079207921","","0.6590909090909091","0.8241758241758241","0.5555555555555556","0.5176470588235295","0.602974828375286","0.6761006289308176","0.6862745098039216","","","","","","","0.6827820186598813","","0.7305389221556886","0.3780487804878049","0.6515837104072398","0.6243093922651933","0.5625","0.7647058823529411","0.5853658536585366","0.2901960784313726","0.9220183486238532","0.9314516129032258","0.875","0.8213058419243986","0.7310126582278481","0.6211180124223602","","0.4808362369337979","0.2981651376146789","0.2265193370165746","0.10989010989010987","","","","0.5114503816793893","0.4674329501915709","0.7953767123287672","0.7582417582417582","","0.7532467532467533","0.8172043010752689","0.6341463414634146","0.3352380952380952","0.7272727272727273","0.32941176470588235","","3.380901043603833e-8","1074790400","-0.045392006635665894","-0.001694521983154118","-0.007932629436254501","0.27830779552459717"
"eval_4096_hv+d1d2[3468]->256x2->32->32","0.8246228448275862","0.014058926768484524","3468","","finished","-","","","2024-08-17T03:04:38.000Z","1511","t7p4kliv","","4096","","","16","","","hv+d1d2","","256","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5522388059701493","0.7157079646017699","","","0.7333333333333333","0.6242424242424243","","0.5301204819277109","","0.8315789473684211","0.6276595744680851","0.4186046511627907","0.5847029077117573","0.4403409090909091","0.6078431372549019","0.7761904761904762","","0.6052631578947368","","0.6588235294117647","0.5598360655737705","0.7901234567901234","0.5126582278481012","0.7602339181286549","0.7326732673267327","","0.6931818181818182","0.8461538461538461","0.6190476190476191","0.38823529411764707","0.6006864988558352","0.6477987421383647","0.6568627450980392","","","","","","","0.6955046649703138","","0.7964071856287425","0.3231707317073171","0.6334841628959276","0.574585635359116","0.5416666666666666","0.7647058823529411","0.6585365853658537","0.25882352941176473","0.9220183486238532","0.9153225806451613","0.8618421052631579","0.8350515463917526","0.7721518987341772","0.6366459627329193","","0.5261324041811847","0.26146788990825687","0.19337016574585636","0.06043956043956044","","","","0.4732824427480916","0.4904214559386973","0.8082191780821918","0.7032967032967034","","0.6623376623376623","0.8279569892473119","0.6463414634146342","0.3180952380952381","0.7272727272727273","0.35294117647058826","","2.366630730522683e-8","1074790400","-0.016773154959082603","-0.00522291287779808","-0.004730037413537502","-0.04179589822888374"
"eval_4096_hv+h+v+d1+d2[1320]->1024x2->32->32","0.8216594827586207","0.012425069027813151","1320","","finished","-","","","2024-08-17T10:10:24.000Z","2665","t7p4kliv","","4096","","","16","","","hv+h+v+d1+d2","","1024","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5402985074626866","0.665929203539823","","","0.6","0.5696969696969697","","0.4578313253012048","","0.7368421052631579","0.5957446808510638","0.43023255813953487","0.5783817951959545","0.4147727272727273","0.6078431372549019","0.7047619047619048","","0.6842105263157895","","0.6352941176470588","0.5770491803278689","0.8271604938271605","0.5379746835443038","0.7660818713450293","0.801980198019802","","0.6818181818181818","0.8351648351648352","0.5079365079365079","0.4941176470588235","0.585812356979405","0.6572327044025157","0.696078431372549","","","","","","","0.6429177268871925","","0.7305389221556886","0.39634146341463417","0.583710407239819","0.580110497237569","0.5416666666666666","0.7352941176470589","0.5365853658536586","0.3058823529411765","0.8990825688073395","0.9153225806451613","0.8355263157894737","0.8213058419243986","0.7025316455696202","0.5869565217391305","","0.4738675958188153","0.3486238532110092","0.18232044198895028","0.06593406593406594","","","","0.5267175572519084","0.4559386973180077","0.7791095890410958","0.6813186813186813","","0.7012987012987013","0.7419354838709677","0.5853658536585366","0.30857142857142855","0.6818181818181818","0.3647058823529411","","2.366630730522683e-8","1074790400","-0.05243292078375816","-0.006114058196544647","-0.014685126952826977","0.049591515213251114"
"eval_4096_hv+h+v+d1+d2[1320]->256x2->32->32","0.8158674568965517","0.014701377833262086","1320","","finished","-","","","2024-08-17T09:07:20.000Z","1744","t7p4kliv","","4096","","","16","","","hv+h+v+d1+d2","","256","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5582089552238806","0.6758849557522124","","","0.6666666666666666","0.593939393939394","","0.4939759036144578","","0.7789473684210526","0.6914893617021277","0.4418604651162791","0.5796460176991151","0.4346590909090909","0.6078431372549019","0.7333333333333333","","0.6842105263157895","","0.6470588235294118","0.5704918032786885","0.8024691358024691","0.4936708860759494","0.7807017543859649","0.7821782178217822","","0.6704545454545454","0.8241758241758241","0.5317460317460317","0.4470588235294118","0.5995423340961098","0.6226415094339622","0.6568627450980392","","","","","","","0.6556403731976251","","0.7365269461077845","0.3353658536585366","0.583710407239819","0.585635359116022","0.5833333333333334","0.7647058823529411","0.5609756097560976","0.2823529411764706","0.926605504587156","0.9435483870967742","0.8519736842105263","0.8006872852233677","0.7341772151898734","0.577639751552795","","0.4425087108013937","0.3119266055045872","0.19889502762430936","0.08791208791208792","","","","0.4809160305343512","0.4521072796934866","0.776541095890411","0.7142857142857143","","0.6623376623376623","0.7634408602150538","0.6219512195121951","0.30857142857142855","0.75","0.4","","2.366630730522683e-8","1074790400","-0.029842987656593323","0.004234082996845245","-0.011605425737798214","0.041478198021650314"
"eval_4096_hv+h+v+d1+d2[1320]->512x2->32->32","0.8139816810344828","0.01383133773560985","1320","","finished","-","","","2024-08-17T09:36:29.000Z","2029","t7p4kliv","","4096","","","16","","","hv+h+v+d1+d2","","512","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5462686567164179","0.6592920353982301","","","0.6","0.6060606060606061","","0.5180722891566265","","0.7052631578947368","0.574468085106383","0.3720930232558139","0.5733249051833123","0.4147727272727273","0.5947712418300654","0.7","","0.5789473684210527","","0.611764705882353","0.5778688524590164","0.7530864197530864","0.4683544303797468","0.7339181286549707","0.7227722772277227","","0.6931818181818182","0.8351648351648352","0.6190476190476191","0.4823529411764706","0.5503432494279176","0.6572327044025157","0.6666666666666666","","","","","","","0.6251060220525869","","0.7245508982035929","0.38414634146341464","0.5610859728506787","0.56353591160221","0.6041666666666666","0.7647058823529411","0.5365853658536586","0.27450980392156865","0.908256880733945","0.9233870967741936","0.8453947368421053","0.7835051546391752","0.7025316455696202","0.5559006211180124","","0.47038327526132406","0.2889908256880734","0.20441988950276244","0.08791208791208792","","","","0.5114503816793893","0.4559386973180077","0.7782534246575342","0.6703296703296703","","0.6883116883116883","0.7419354838709677","0.5487804878048781","0.3314285714285714","0.7727272727272727","0.35294117647058826","","6.899798048171089e-8","1074790400","-0.048979416489601135","-0.002271992154419422","0.0050919982604682446","-0.021275535225868225"
"eval_4096_h+v+d1+d2[552]->2048x2->32->32","0.8049568965517241","0.015496307802095544","552","","finished","-","","","2024-08-17T08:10:01.000Z","3433","t7p4kliv","","4096","","","16","","","h+v+d1+d2","","2048","","32","","32","","0.0015","1073741824","eval","","","","","","","","","","","","","","","","","","","32","1024","","cs-master-thesis","","0.5313432835820896","0.6559734513274337","","","0.6222222222222222","0.5757575757575758","","0.4457831325301205","","0.7157894736842105","0.5425531914893617","0.4186046511627907","0.561314791403287","0.3806818181818182","0.6209150326797386","0.7047619047619048","","0.631578947368421","","0.6470588235294118","0.5434426229508197","0.7901234567901234","0.5126582278481012","0.7397660818713451","0.7722772277227723","","0.6818181818181818","0.8021978021978022","0.4841269841269842","0.4117647058823529","0.5697940503432495","0.6540880503144654","0.6862745098039216","","","","","","","0.64715860899067","","0.7125748502994012","0.3475609756097561","0.5972850678733032","0.580110497237569","0.5833333333333334","0.6470588235294118","0.6341463414634146","0.2235294117647059","0.8944954128440367","0.9032258064516128","0.8421052631578947","0.8178694158075601","0.6930379746835443","0.593167701863354","","0.42857142857142855","0.28440366972477066","0.1160220994475138","0.08791208791208792","","","","0.4580152671755725","0.44061302681992337","0.773972602739726","0.7252747252747253","","0.6883116883116883","0.7526881720430108","0.573170731707317","0.2723809523809524","0.75","0.2823529411764706","","2.366630730522683e-8","1074790400","-0.06809055805206299","-0.004962700419127941","-0.0017548496834933758","0.1329510360956192"
