"Perf/epoch","Name","Perf/rating","Perf/rating_error"
256,"4-eval_16384_(all+ph[1920]→512)x2→32→1",-8.4,5.0
256,"4-eval_16384_(all+ph+pv[3072]→512)x2→32→1",-37.6,4.9
256,"4-eval_16384_(all+pv[1920]→512)x2→32→1",-38.2,4.8
