"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","checkpoint_interval","command","dataset","epoch_size","epochs","feature_set","gamma","l1_size","l2_size","learning_rate","method","metric.goal","metric.name","name","notes","num_features","parameters.batch_sizes","parameters.epochss","parameters.feature_sets","parameters.gammas","parameters.l1_sizes","parameters.l2_sizes","parameters.learning_rates","parameters.runs","parameters.wandb_projects","perf_interval","program","puzzle_interval","run","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/bishopEndgame","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleCheck","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/middlegame","Puzzles/moveAccuracy.max","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/lr","Train/samples","Train/train_loss.min","Train/val_loss.min","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"4-eval_16384_(all+ph+pv[3072]→512)x2→32→1","","finished","-","","","2024-10-15T10:02:55.000Z","13298","2ce7wn7f","4-eval_16384_(all+ph+pv[3072]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph+pv","0.99","512","32","0.0005","eval","","","","","3072","","","","","","","","","","0","","64","4","cs-master-thesis","0.755223880597015","0.8086283185840708","0.8","0.7272727272727273","0.7590361445783133","0.8842105263157894","0.723404255319149","0.5930232558139535","0.7370417193426043","0.5909090909090909","0.7712418300653595","0.8571428571428571","0.7631578947368421","0.7529411764705882","0.759016393442623","0.9135802469135802","0.6772151898734177","0.8596491228070176","0.8118811881188119","0.8295454545454546","0.8791208791208791","0.6904761904761905","0.7764705882352941","0.7448512585812357","0.8144654088050315","0.8725490196078431","0.7675996607294318","0.8921066810344828","0.8323353293413174","0.5609756097560976","0.7149321266968326","0.7955801104972375","0.7708333333333334","0.9411764705882352","0.8048780487804879","0.5137254901960784","0.9495412844036696","0.9717741935483872","0.950657894736842","0.9347079037800688","0.8829113924050633","0.7546583850931677","0.7386759581881533","0.5412844036697247","0.40331491712707185","0.2032967032967033","0.7404580152671756","0.6360153256704981","0.889554794520548","0.8681318681318682","0.9090909090909092","0.9032258064516128","0.7926829268292683","0.5352380952380953","0.8863636363636364","0.4352941176470588","0.00003815749195329693","25702039552","0.0028235107940422716","0.002867530362358081","-0.011280639097094536","-0.014012852683663368","-4.614355087280273"
"3-eval_16384_(all+ph+pv[3072]→512)x2→32→1","","finished","-","","","2024-10-15T06:21:34.000Z","13276","2ce7wn7f","3-eval_16384_(all+ph+pv[3072]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph+pv","0.99","512","32","0.0005","eval","","","","","3072","","","","","","","","","","0","","64","3","cs-master-thesis","0.7343283582089553","0.8008849557522124","0.7555555555555555","0.7151515151515152","0.7469879518072289","0.8842105263157894","0.7021276595744681","0.5465116279069767","0.7351453855878635","0.6278409090909091","0.7843137254901961","0.8380952380952381","0.7631578947368421","0.7647058823529411","0.7524590163934426","0.8765432098765432","0.6772151898734177","0.8567251461988304","0.801980198019802","0.7727272727272727","0.8791208791208791","0.6746031746031746","0.8117647058823529","0.7471395881006865","0.789308176100629","0.8431372549019608","0.7608142493638677","0.8921066810344828","0.8502994011976048","0.5609756097560976","0.7013574660633484","0.7790055248618785","0.7083333333333334","0.9411764705882352","0.8292682926829268","0.4941176470588235","0.9495412844036696","0.9717741935483872","0.950657894736842","0.9347079037800688","0.870253164556962","0.7732919254658385","0.7177700348432056","0.4954128440366973","0.3812154696132597","0.2307692307692308","0.7480916030534351","0.632183908045977","0.8904109589041096","0.8681318681318682","0.8181818181818182","0.8924731182795699","0.7560975609756098","0.5047619047619047","0.8636363636363636","0.4352941176470588","0.00003815749195329693","25702039552","0.002827300135387098","0.0028729498331033134","-0.011453702114522455","-0.01711943931877613","-3.841176986694336"
"2-eval_16384_(all+ph+pv[3072]→512)x2→32→1","","finished","-","","","2024-10-15T02:10:28.000Z","15056","2ce7wn7f","2-eval_16384_(all+ph+pv[3072]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph+pv","0.99","512","32","0.0005","eval","","","","","3072","","","","","","","","","","0","","64","2","cs-master-thesis","0.755223880597015","0.786504424778761","0.7111111111111111","0.7515151515151515","0.7710843373493976","0.8947368421052632","0.6808510638297872","0.5697674418604651","0.7357774968394437","0.5909090909090909","0.7973856209150327","0.861904761904762","0.7631578947368421","0.7647058823529411","0.7524590163934426","0.9012345679012346","0.6835443037974683","0.8654970760233918","0.8217821782178217","0.8181818181818182","0.912087912087912","0.6904761904761905","0.7764705882352941","0.7517162471395881","0.7987421383647799","0.8627450980392157","0.7599660729431722","0.8891433189655172","0.7964071856287425","0.5853658536585366","0.7149321266968326","0.7790055248618785","0.7083333333333334","0.9117647058823528","0.7804878048780488","0.4823529411764706","0.963302752293578","0.9556451612903226","0.944078947368421","0.9381443298969072","0.8860759493670886","0.7763975155279503","0.7038327526132404","0.518348623853211","0.34806629834254144","0.1813186813186813","0.7099236641221374","0.6819923371647509","0.8707191780821918","0.8461538461538461","0.8961038961038961","0.8924731182795699","0.7926829268292683","0.5219047619047619","0.9090909090909092","0.4470588235294118","0.00003815749195329693","25702039552","0.0028183036251909063","0.0028645325607309737","-0.010158125311136246","-0.011211239732801914","2.564051628112793"
"1-eval_16384_(all+ph+pv[3072]→512)x2→32→1","","finished","-","","","2024-10-14T23:01:53.000Z","11308","2ce7wn7f","1-eval_16384_(all+ph+pv[3072]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph+pv","0.99","512","32","0.0005","eval","","","","","3072","","","","","","","","","","0","","64","1","cs-master-thesis","0.7492537313432835","0.7986725663716814","0.7333333333333333","0.7636363636363637","0.7108433734939759","0.8736842105263158","0.7127659574468085","0.6046511627906976","0.7281921618204804","0.5965909090909091","0.803921568627451","0.8285714285714286","0.7631578947368421","0.7764705882352941","0.7467213114754099","0.9012345679012346","0.6708860759493671","0.8508771929824561","0.7821782178217822","0.8068181818181818","0.8901098901098901","0.6825396825396826","0.7764705882352941","0.7471395881006865","0.7955974842767296","0.8235294117647058","0.7616624257845632","0.892645474137931","0.8203592814371258","0.5609756097560976","0.746606334841629","0.7900552486187845","0.75","0.8823529411764706","0.8048780487804879","0.4862745098039216","0.9541284403669724","0.967741935483871","0.9605263157894736","0.9381443298969072","0.8670886075949367","0.7670807453416149","0.7038327526132404","0.5045871559633027","0.35359116022099446","0.2032967032967033","0.7786259541984732","0.6283524904214559","0.8715753424657534","0.8461538461538461","0.8441558441558441","0.8924731182795699","0.8292682926829268","0.5257142857142857","0.9318181818181818","0.4352941176470588","0.00003815749195329693","25702039552","0.00281379720784155","0.0028599985346958543","-0.01102679781615734","-0.007431097328662872","18.21450424194336"
"4-eval_16384_(all+pv[1920]→512)x2→32→1","","finished","-","","","2024-10-14T20:17:01.000Z","9886","2ce7wn7f","4-eval_16384_(all+pv[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+pv","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","4","cs-master-thesis","0.7373134328358208","0.7997787610619469","0.7555555555555555","0.7515151515151515","0.6626506024096386","0.8736842105263158","0.6914893617021277","0.5930232558139535","0.7281921618204804","0.6051136363636364","0.7647058823529411","0.8476190476190476","0.7631578947368421","0.7411764705882353","0.7442622950819672","0.925925925925926","0.6518987341772152","0.8596491228070176","0.801980198019802","0.8295454545454546","0.8571428571428571","0.6904761904761905","0.7647058823529411","0.7597254004576659","0.7830188679245284","0.803921568627451","0.7667514843087362","0.892645474137931","0.8263473053892215","0.5670731707317073","0.7149321266968326","0.7513812154696132","0.7291666666666666","0.9411764705882352","0.8292682926829268","0.4431372549019608","0.9587155963302753","0.9717741935483872","0.9572368421052632","0.9278350515463918","0.8544303797468354","0.8043478260869565","0.7038327526132404","0.5229357798165137","0.34806629834254144","0.17032967032967034","0.7404580152671756","0.6590038314176245","0.8715753424657534","0.8461538461538461","0.7922077922077922","0.9247311827956988","0.7439024390243902","0.5104761904761905","0.9090909090909092","0.4","0.00003815749195329693","25702039552","0.002975398615026434","0.003033123863499987","-0.012124787084758282","-0.014847506769001484","-4.102544784545898"
"3-eval_16384_(all+pv[1920]→512)x2→32→1","","finished","-","","","2024-10-14T17:34:24.000Z","9748","2ce7wn7f","3-eval_16384_(all+pv[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+pv","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","3","cs-master-thesis","0.7820895522388059","0.8042035398230089","0.7555555555555555","0.7333333333333333","0.7228915662650602","0.8842105263157894","0.7127659574468085","0.5697674418604651","0.7345132743362832","0.6164772727272727","0.7647058823529411","0.8523809523809524","0.7894736842105263","0.7529411764705882","0.7524590163934426","0.925925925925926","0.6075949367088608","0.8567251461988304","0.8712871287128713","0.7954545454545454","0.9010989010989012","0.7222222222222222","0.8","0.7574370709382151","0.7861635220125787","0.8137254901960784","0.7718405428329093","0.8962823275862069","0.8083832335329342","0.5975609756097561","0.7285067873303167","0.8232044198895028","0.7291666666666666","0.8823529411764706","0.7804878048780488","0.4823529411764706","0.9495412844036696","0.9838709677419356","0.9572368421052632","0.9243986254295532","0.8670886075949367","0.7795031055900621","0.710801393728223","0.5458715596330275","0.35911602209944754","0.21978021978021975","0.7099236641221374","0.6436781609195402","0.8809931506849316","0.8461538461538461","0.8701298701298701","0.9247311827956988","0.8048780487804879","0.52","0.8863636363636364","0.4588235294117647","0.00003815749195329693","25702039552","0.003012995283988452","0.0030525565846493464","-0.0131739666685462","0.011156735941767693","-18.18399429321289"
"2-eval_16384_(all+pv[1920]→512)x2→32→1","","finished","-","","","2024-10-14T15:02:38.000Z","9101","2ce7wn7f","2-eval_16384_(all+pv[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+pv","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","2","cs-master-thesis","0.7671641791044777","0.797566371681416","0.7777777777777778","0.7454545454545455","0.6987951807228916","0.8736842105263158","0.7127659574468085","0.627906976744186","0.7326169405815424","0.5767045454545454","0.7647058823529411","0.8571428571428571","0.7105263157894737","0.7647058823529411","0.7491803278688525","0.9135802469135802","0.6518987341772152","0.8654970760233918","0.8415841584158416","0.8068181818181818","0.8681318681318682","0.6666666666666666","0.7529411764705882","0.7356979405034325","0.8113207547169812","0.8529411764705882","0.7616624257845632","0.8915678879310345","0.844311377245509","0.5670731707317073","0.755656108597285","0.8066298342541437","0.75","0.9117647058823528","0.7804878048780488","0.4784313725490196","0.963302752293578","0.9556451612903226","0.9473684210526316","0.9347079037800688","0.8765822784810127","0.782608695652174","0.7142857142857143","0.518348623853211","0.3701657458563536","0.1813186813186813","0.7251908396946565","0.6398467432950191","0.8801369863013698","0.8791208791208791","0.8701298701298701","0.9247311827956988","0.8414634146341463","0.539047619047619","0.8863636363636364","0.5176470588235295","0.00003815749195329693","25702039552","0.002994732738743801","0.003023313817469456","-0.010544813238084316","-0.011610886082053185","10.853784561157228"
"1-eval_16384_(all+pv[1920]→512)x2→32→1","","finished","-","","","2024-10-14T13:05:19.000Z","7033","2ce7wn7f","1-eval_16384_(all+pv[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+pv","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","1","cs-master-thesis","0.764179104477612","0.8019911504424779","0.7777777777777778","0.7515151515151515","0.6987951807228916","0.8947368421052632","0.7553191489361702","0.5930232558139535","0.7357774968394437","0.6164772727272727","0.7450980392156863","0.8571428571428571","0.7631578947368421","0.7529411764705882","0.7459016393442623","0.9135802469135802","0.6329113924050633","0.8742690058479532","0.8613861386138614","0.8181818181818182","0.912087912087912","0.6746031746031746","0.7764705882352941","0.7494279176201373","0.8050314465408805","0.8333333333333334","0.7718405428329093","0.8942618534482759","0.8562874251497006","0.5365853658536586","0.7239819004524887","0.7845303867403315","0.7708333333333334","0.9117647058823528","0.8048780487804879","0.4705882352941176","0.9357798165137616","0.9637096774193548","0.944078947368421","0.9175257731958762","0.8987341772151899","0.7732919254658385","0.7247386759581882","0.5504587155963303","0.3425414364640884","0.23626373626373623","0.7251908396946565","0.6475095785440613","0.8835616438356164","0.7912087912087912","0.8701298701298701","0.9032258064516128","0.7682926829268293","0.5257142857142857","0.8636363636363636","0.4470588235294118","0.00003815749195329693","25702039552","0.0029902053862043594","0.0030218782294445337","-0.012535100802779198","-0.012675905600190164","20.739580154418945"
"4-eval_16384_(all+ph[1920]→512)x2→32→1","","finished","-","","","2024-10-14T11:08:40.000Z","6993","2ce7wn7f","4-eval_16384_(all+ph[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","4","cs-master-thesis","0.7671641791044777","0.8086283185840708","0.7555555555555555","0.7454545454545455","0.7228915662650602","0.8947368421052632","0.723404255319149","0.6162790697674418","0.7376738305941846","0.6022727272727273","0.7450980392156863","0.8428571428571429","0.8157894736842105","0.7764705882352941","0.7483606557377049","0.9135802469135802","0.689873417721519","0.8625730994152047","0.8316831683168316","0.8409090909090909","0.8901098901098901","0.7222222222222222","0.7764705882352941","0.7620137299771167","0.8081761006289309","0.8333333333333334","0.7845631891433418","0.8938577586206896","0.7964071856287425","0.524390243902439","0.755656108597285","0.8121546961325967","0.7083333333333334","0.9411764705882352","0.8292682926829268","0.4705882352941176","0.9587155963302753","0.967741935483871","0.9572368421052632","0.9484536082474226","0.8829113924050633","0.7888198757763976","0.6968641114982579","0.5137614678899083","0.3756906077348066","0.23626373626373623","0.7022900763358778","0.6666666666666666","0.8818493150684932","0.8681318681318682","0.8441558441558441","0.9032258064516128","0.7926829268292683","0.5257142857142857","0.9318181818181818","0.4470588235294118","0.00003815749195329693","25702039552","0.0029146608632292263","0.0029455173041103575","-0.011889630928635595","-0.010661939159035684","6.002152442932129"
"3-eval_16384_(all+ph[1920]→512)x2→32→1","","finished","-","","","2024-10-14T09:12:20.000Z","6972","2ce7wn7f","3-eval_16384_(all+ph[1920]→512)x2→32→1","16384","16","","/mnt/c/datasets/compact.plain","100007936","256","all+ph","0.99","512","32","0.0005","eval","","","","","1920","","","","","","","","","","0","","64","3","cs-master-thesis","0.7791044776119403","0.7997787610619469","0.7777777777777778","0.7454545454545455","0.7469879518072289","0.8842105263157894","0.7127659574468085","0.5697674418604651","0.7370417193426043","0.6051136363636364","0.7712418300653595","0.8428571428571429","0.7894736842105263","0.7294117647058823","0.7475409836065574","0.925925925925926","0.6392405063291139","0.8830409356725146","0.8316831683168316","0.8181818181818182","0.9010989010989012","0.6904761904761905","0.7529411764705882","0.7471395881006865","0.7987421383647799","0.8431372549019608","0.7735368956743003","0.8937230603448276","0.8323353293413174","0.5609756097560976","0.7194570135746606","0.8011049723756906","0.6875","0.9117647058823528","0.8048780487804879","0.4980392156862745","0.9357798165137616","0.9717741935483872","0.944078947368421","0.9278350515463918","0.8829113924050633","0.7795031055900621","0.710801393728223","0.5275229357798165","0.3977900552486188","0.22527472527472528","0.7022900763358778","0.6743295019157088","0.877568493150685","0.8351648351648352","0.8831168831168831","0.9032258064516128","0.7560975609756098","0.5447619047619048","0.9318181818181818","0.4588235294117647","0.00003815749195329693","25702039552","0.0028935461479018235","0.0029525540929133654","-0.01285646390169859","-0.01214665360748768","-4.211169719696045"
