"Name","Perf/rating","Perf/rating_error"
"eval_16384_(hv[768]→512)x2→32→1",0.0,0.0
"eval_16384_(hv+ph[1920]→512)x2→32→1",-0.5,5.1
"eval_16384_(hv+pv[1920]→512)x2→32→1",-14.1,4.5
"eval_16384_(hv+ph+pv[3072]→512)x2→32→1",-32.8,4.7
