color,fullmove,legal_moves,count
Black,109,25,277
Black,69,31,619
White,25,59,55
Black,33,51,198
White,61,17,5295
Black,173,15,30
White,26,48,2004
Black,147,30,16
Black,87,45,1
White,160,36,1
White,117,4,350
Black,44,18,8011
Black,63,36,294
White,110,19,1003
White,125,4,223
White,69,32,792
Black,183,7,15
White,80,27,1169
White,40,48,281
Black,79,7,1453
White,62,32,1124
White,122,40,2
Black,70,48,4
White,157,25,28
White,64,62,1
White,97,26,561
Black,173,28,10
Black,60,50,5
White,47,53,15
Black,36,28,6727
White,13,40,13138
White,62,44,46
White,168,18,27
Black,128,8,134
Black,187,11,11
White,145,20,87
Black,192,25,4
White,113,3,278
White,93,16,1370
White,105,38,13
White,51,36,1117
Black,22,61,13
Black,191,4,14
Black,62,11,3053
White,200,15,10
Black,55,10,2968
Black,56,17,6655
White,45,48,118
Black,196,8,3
Black,17,59,37
White,79,21,1723
White,51,42,271
White,199,10,6
Black,167,28,10
Black,190,7,4
Black,96,6,1065
White,160,33,2
Black,27,37,6487
White,129,32,26
White,88,45,5
Black,185,17,12
Black,43,8,2532
White,14,40,12822
White,146,11,71
Black,155,14,74
White,27,27,7635
Black,67,11,2617
White,33,5,3126
White,80,29,868
Black,78,13,2291
White,138,17,158
Black,89,39,22
White,147,18,81
Black,116,24,205
White,102,4,675
White,29,49,1144
Black,154,11,63
White,19,10,48
White,73,50,5
White,154,21,50
Black,158,22,31
White,122,35,15
Black,151,17,79
Black,9,32,13061
Black,147,35,1
Black,176,34,1
White,94,5,1184
Black,147,6,84
White,111,22,519
White,56,24,4386
White,85,30,546
Black,167,27,16
Black,53,25,3844
White,84,31,407
Black,51,27,3514
White,147,31,12
White,114,16,527
Black,190,24,5
White,97,3,563
Black,66,37,189
Black,85,19,2532
White,92,38,34
White,117,29,141
Black,32,22,7725
Black,85,37,41
White,110,41,8
Black,26,59,14
White,177,27,9
Black,199,12,7
White,120,39,2
White,163,30,14
White,27,65,2
White,51,22,6629
White,187,13,17
White,65,12,2811
White,32,61,11
Black,174,30,2
Black,92,6,1195
Black,47,7,3487
White,142,41,1
White,23,16,772
White,182,25,9
Black,128,7,187
White,40,4,4680
White,13,7,266
White,75,28,1307
White,155,30,15
Black,117,32,28
Black,164,22,33
Black,19,12,139
White,130,40,1
White,60,42,132
Black,117,31,50
White,121,33,23
Black,123,39,3
White,194,25,7
Black,191,9,6
Black,63,30,1120
White,67,20,3775
Black,79,44,8
Black,194,25,3
White,131,21,157
Black,180,14,23
Black,171,8,22
White,173,28,6
White,140,24,72
Black,92,38,18
White,186,20,19
White,49,9,2133
Black,109,35,13
White,141,11,89
Black,178,16,20
White,67,39,169
White,113,44,2
White,89,19,2237
Black,150,12,75
Black,41,48,117
White,182,15,24
Black,94,42,6
White,158,43,1
White,169,30,7
White,146,5,112
White,44,5,4530
White,179,19,37
Black,47,5,5823
White,110,38,10
White,35,50,341
White,49,54,8
Black,118,3,233
White,56,41,221
White,130,39,1
White,9,32,7803
White,71,3,1873
White,117,19,726
Black,127,14,276
White,15,8,135
Black,88,33,147
Black,111,32,58
White,19,5,1147
White,9,5,547
White,16,4,1292
White,87,41,12
Black,104,27,295
White,11,60,100
White,167,5,42
Black,15,13,87
White,90,32,240
White,126,1,45
Black,70,49,2
Black,134,30,33
White,107,38,11
White,110,2,191
White,88,44,9
White,88,7,836
Black,12,45,4751
White,68,17,4027
Black,41,33,2818
White,20,13,122
Black,10,2,933
White,64,46,23
White,191,17,14
White,97,40,13
White,76,41,62
Black,169,20,19
White,168,23,27
White,188,15,13
White,27,55,213
White,59,15,5223
Black,50,15,6934
White,79,26,1396
Black,32,63,1
Black,175,33,1
White,192,30,3
White,111,17,610
White,93,27,608
Black,190,29,3
Black,92,34,66
Black,54,21,5228
Black,127,4,238
White,11,30,4969
White,48,5,4813
Black,41,27,5830
White,54,39,448
Black,110,5,518
Black,67,30,914
Black,79,43,12
White,167,14,41
White,33,64,1
Black,198,27,2
Black,21,27,7092
Black,138,32,13
Black,149,36,3
Black,23,2,2546
White,19,58,169
Black,33,2,4057
White,90,18,1374
Black,125,3,190
White,177,8,11
Black,188,12,17
Black,72,22,2482
Black,71,32,412
Black,13,16,159
Black,169,22,15
White,193,21,8
Black,142,37,1
Black,200,26,1
White,51,45,128
White,184,22,11
Black,169,4,30
White,35,44,1465
Black,116,40,3
White,108,7,365
Black,106,2,313
Black,134,26,85
Black,37,2,4211
Black,74,6,2727
White,158,31,6
White,22,4,1965
White,177,33,1
White,191,9,9
Black,152,12,70
Black,156,29,17
White,178,27,10
White,12,50,3336
White,18,24,2133
White,199,14,5
Black,126,14,275
Black,89,31,201
White,60,46,41
Black,24,48,1562
White,69,47,11
White,69,43,62
White,68,54,1
White,57,31,1897
Black,34,48,411
Black,55,48,17
White,64,21,3857
White,30,56,99
Black,30,15,3159
White,69,18,3632
Black,187,5,15
Black,32,4,4573
Black,11,21,891
White,99,46,4
White,59,24,3809
Black,128,27,110
White,159,19,81
White,9,39,13529
White,47,12,3666
Black,121,33,18
Black,167,37,2
Black,104,12,733
Black,118,35,12
White,198,3,2
Black,126,36,3
White,39,18,7022
White,158,11,43
Black,78,26,1133
White,31,27,8423
White,21,52,1199
White,95,7,677
White,198,15,6
White,74,40,110
White,69,5,3226
White,97,29,408
White,76,54,1
Black,107,6,673
White,139,37,5
White,116,29,167
Black,153,35,3
White,61,19,6200
Black,112,17,590
White,118,39,10
Black,56,36,429
Black,149,26,45
Black,29,37,5819
Black,24,27,8010
White,119,33,33
White,30,42,3616
White,56,13,4294
White,68,2,1280
Black,65,45,13
Black,118,34,14
White,152,24,48
Black,67,28,1425
White,176,6,24
White,42,4,4806
Black,117,29,112
Black,77,47,5
Black,19,29,8426
Black,168,10,21
White,119,7,214
Black,150,34,1
White,35,25,8241
Black,98,48,1
White,98,47,1
Black,149,24,39
Black,191,26,3
Black,48,41,291
Black,36,49,189
White,47,36,1548
White,47,59,2
White,167,26,13
White,90,37,39
Black,16,29,7829
White,94,33,132
White,86,27,874
White,155,24,27
White,21,57,215
White,112,8,217
Black,155,20,45
Black,38,57,8
Black,145,31,15
White,192,21,4
White,179,32,2
Black,112,12,502
White,147,16,93
White,77,12,1862
Black,57,53,2
White,22,57,191
Black,179,27,10
Black,11,41,9238
Black,149,34,1
Black,126,27,91
Black,58,3,3993
White,25,52,812
White,135,11,113
Black,66,54,1
White,111,36,18
White,70,24,2128
White,94,31,227
Black,66,28,1508
Black,20,4,2243
Black,111,37,5
Black,106,24,298
White,79,15,2335
Black,16,10,48
White,176,25,11
Black,186,1,3
White,12,52,1926
Black,72,33,319
White,44,37,1716
White,84,40,38
Black,193,19,9
Black,55,5,5449
White,72,15,3187
Black,199,23,3
White,91,36,80
White,103,23,393
White,170,18,19
Black,150,29,29
Black,47,13,5813
White,117,37,12
Black,68,11,2451
White,11,46,7344
Black,73,37,100
White,94,8,512
White,10,12,21
White,194,28,6
Black,45,12,4565
White,26,24,5593
Black,182,4,21
Black,43,47,140
Black,41,30,4171
Black,147,4,90
White,119,11,240
Black,90,33,93
Black,73,48,3
Black,31,19,6040
White,89,7,868
White,12,8,94
Black,100,28,314
White,131,5,201
White,169,14,46
Black,100,5,863
Black,128,5,237
White,17,28,4380
Black,42,3,5330
Black,69,2,1630
Black,86,37,39
White,192,24,7
White,151,28,28
White,14,18,181
Black,29,3,4067
Black,54,20,5992
White,95,25,537
Black,140,6,147
White,176,10,16
White,143,32,9
White,39,3,4055
White,35,19,6284
Black,53,14,6207
White,125,7,195
White,26,63,4
Black,196,19,7
Black,122,39,2
White,154,5,62
Black,40,18,7817
Black,189,11,8
Black,22,26,6649
Black,187,28,4
Black,94,16,1362
White,53,41,290
Black,42,13,5212
Black,12,4,1302
Black,134,24,87
White,40,13,3602
White,85,5,1652
Black,80,17,2521
Black,63,4,4277
Black,116,6,488
White,127,15,327
Black,64,50,1
White,141,32,12
Black,168,29,6
White,94,36,47
Black,172,32,1
Black,147,1,16
White,106,25,351
White,175,31,3
White,40,22,7924
White,37,8,1174
Black,43,20,7836
Black,64,31,855
Black,172,29,5
White,98,24,546
White,73,21,2396
Black,175,9,13
White,112,33,53
White,32,3,3423
Black,166,12,37
White,150,7,54
Black,82,38,47
Black,189,10,3
Black,176,12,23
White,14,5,802
Black,37,30,5424
White,117,12,398
Black,35,10,1664
White,120,48,1
White,135,8,70
Black,43,38,1103
White,199,20,2
Black,168,1,9
Black,32,29,7508
Black,188,36,1
White,121,31,48
White,97,33,117
White,81,12,1556
White,195,23,6
White,52,21,6255
Black,94,61,1
White,115,30,118
White,25,13,417
Black,83,51,1
White,170,22,22
White,55,35,948
Black,76,4,2403
White,133,1,31
White,105,32,80
White,10,68,3
White,42,36,2414
Black,55,15,6445
White,22,20,1700
Black,68,41,41
Black,36,33,4394
White,48,10,2300
Black,62,5,4656
Black,129,3,147
Black,66,43,34
Black,126,39,1
Black,28,49,728
Black,64,1,698
White,83,1,255
White,132,21,134
White,18,14,115
White,123,27,136
White,121,17,374
Black,87,29,468
Black,15,44,5860
Black,146,26,56
Black,138,12,175
Black,131,20,135
Black,155,11,43
Black,137,27,49
White,200,21,6
Black,23,1,1156
White,98,21,684
Black,105,12,747
White,51,57,1
Black,31,45,1313
Black,13,45,4951
White,18,9,93
White,86,17,1829
Black,113,6,496
White,24,20,2464
Black,20,58,74
Black,84,29,555
Black,178,33,2
Black,93,21,756
White,33,39,3935
White,85,46,4
Black,107,1,120
Black,126,6,258
White,78,13,2006
Black,147,25,45
White,138,35,3
Black,44,7,3180
White,43,9,1676
White,19,59,96
Black,32,35,5324
White,194,26,5
White,72,42,47
Black,43,29,4127
White,17,57,285
Black,31,36,5134
Black,37,54,22
White,56,46,49
Black,70,22,2846
White,117,28,177
Black,119,39,4
White,46,1,967
Black,195,20,2
Black,57,15,5929
White,27,48,1796
White,149,7,56
Black,200,5,1
White,65,35,480
White,194,12,5
Black,30,44,1873
Black,32,42,2107
Black,47,23,5871
White,116,42,3
Black,103,13,892
Black,52,41,196
White,110,33,51
Black,45,47,98
Black,41,5,5274
Black,38,25,7305
White,93,12,1030
White,10,41,13102
Black,43,50,45
White,76,19,3637
White,24,17,1250
White,147,30,27
White,34,35,5506
White,172,26,17
Black,56,31,1255
Black,162,13,52
White,48,26,5693
White,129,37,6
White,35,31,6784
Black,88,32,175
Black,160,2,21
Black,56,8,2771
White,26,9,238
White,81,48,3
White,17,6,635
Black,64,39,102
Black,94,13,1271
White,44,27,6152
White,28,11,425
Black,89,6,1391
White,114,11,340
Black,25,72,1
Black,25,24,6566
Black,121,18,310
White,15,47,5970
Black,87,17,1787
White,63,35,608
White,177,29,7
White,24,11,181
White,53,13,4557
White,138,20,142
Black,52,17,7413
Black,29,18,4565
Black,126,17,293
Black,153,28,35
White,135,38,2
Black,175,30,3
White,61,16,5237
White,55,18,6221
Black,55,11,3645
Black,32,8,1044
White,98,44,3
White,107,3,372
Black,14,52,700
Black,104,35,26
Black,196,10,7
Black,184,26,4
White,133,20,165
White,171,27,16
White,24,51,1222
White,113,29,200
Black,56,10,2942
White,54,6,4319
White,12,37,12983
White,176,30,3
White,33,29,8046
White,62,28,2461
Black,36,36,3147
White,168,13,33
Black,117,34,16
Black,194,13,12
Black,134,27,72
White,69,55,1
Black,39,17,7301
White,104,43,2
White,35,53,125
Black,50,48,28
White,99,32,127
Black,106,32,71
White,88,8,679
Black,136,41,1
White,132,36,3
Black,139,23,50
White,95,12,891
Black,151,22,62
Black,39,13,4578
White,33,27,8285
Black,190,8,8
Black,60,32,863
White,72,25,1866
White,38,42,1431
Black,38,17,7091
Black,175,4,27
White,34,25,8293
White,13,11,22
White,126,43,1
Black,13,5,956
Black,54,18,6649
Black,54,34,803
White,45,53,16
Black,56,18,6322
Black,103,43,1
White,25,63,8
White,183,33,2
Black,68,32,532
White,60,24,3689
Black,13,8,99
Black,65,12,3377
Black,155,26,27
Black,72,11,2102
Black,32,7,1497
Black,33,36,4293
White,69,25,2132
White,78,23,1563
Black,101,3,566
Black,144,20,82
White,67,47,10
Black,10,12,31
White,36,25,8120
White,66,12,2666
White,103,44,1
White,22,6,938
White,149,26,37
White,38,53,66
White,91,14,1279
Black,133,30,38
Black,187,21,6
Black,16,35,12310
White,161,6,55
White,113,37,15
White,50,7,2701
White,43,47,245
Black,189,26,5
Black,35,6,3155
White,177,14,23
Black,138,15,162
Black,66,6,3572
Black,20,3,2454
White,73,7,1636
Black,183,32,1
White,26,65,3
Black,57,42,86
White,158,19,84
Black,14,64,3
Black,180,23,4
White,30,5,2590
Black,172,17,24
White,42,42,810
White,35,56,34
Black,125,5,326
Black,194,19,8
Black,28,61,14
Black,94,22,965
White,90,13,1339
White,178,8,9
Black,58,30,1430
White,33,32,7016
Black,200,10,7
Black,17,9,82
White,174,24,20
White,26,61,16
Black,20,37,10439
Black,36,41,1533
White,20,15,243
White,105,26,422
Black,58,7,3144
White,93,32,200
Black,181,16,26
White,77,53,1
Black,25,30,8972
White,183,24,7
Black,181,27,8
White,167,2,9
White,31,14,1990
Black,108,28,193
White,93,43,10
White,45,16,6613
White,55,17,6242
White,79,27,1194
White,80,11,1281
Black,28,15,2540
White,26,10,228
Black,19,42,7233
White,195,25,6
White,78,1,281
Black,46,26,4935
Black,57,31,1144
White,104,22,756
White,129,25,131
White,39,24,8089
Black,160,10,29
Black,19,64,2
White,90,3,802
White,200,10,4
Black,107,20,545
Black,114,29,114
White,103,13,822
Black,15,58,84
Black,134,31,21
White,95,18,1159
White,75,9,1144
White,158,14,70
Black,166,24,17
White,150,3,48
White,168,6,38
White,22,52,1170
Black,59,35,438
Black,53,20,6304
White,110,40,9
Black,10,23,1697
Black,83,43,9
Black,103,30,151
Black,56,49,14
White,180,19,29
Black,19,37,10913
Black,152,32,6
Black,11,59,38
Black,100,39,6
Black,24,4,3070
White,75,7,1448
Black,57,20,5267
Black,48,37,783
Black,17,47,3175
White,57,22,5268
Black,27,3,3868
Black,76,59,1
White,74,30,934
Black,97,7,662
Black,178,35,1
Black,147,5,102
Black,28,48,1028
Black,46,43,211
White,12,69,1
White,16,46,6897
White,43,11,2600
White,184,30,1
Black,118,14,475
White,162,29,10
Black,162,35,2
White,71,38,187
Black,98,37,20
Black,200,3,3
White,142,6,121
White,74,7,1503
White,133,22,167
Black,168,11,31
White,173,4,13
Black,118,28,123
Black,122,31,40
Black,81,5,2043
Black,194,12,5
Black,192,17,11
Black,104,41,1
Black,82,25,907
Black,194,29,2
Black,146,31,16
Black,104,19,1188
White,125,39,4
White,118,17,408
White,57,12,3571
Black,135,33,9
White,100,22,850
White,98,1,124
White,65,4,3446
Black,90,4,1313
White,84,7,1025
White,131,20,195
Black,78,2,1059
Black,18,16,446
Black,159,29,11
White,10,50,3298
Black,106,43,5
Black,76,24,1243
Black,177,1,5
Black,41,50,60
White,131,33,15
Black,42,47,159
Black,32,43,1809
Black,144,10,80
Black,182,11,19
White,114,35,19
Black,83,23,975
White,172,37,2
White,29,37,6943
White,103,14,830
Black,21,14,502
White,34,43,2004
Black,83,27,750
Black,173,6,29
White,133,5,219
White,17,55,640
White,125,37,5
Black,84,9,887
Black,47,15,7149
Black,127,3,171
Black,162,32,2
White,146,38,1
Black,148,7,55
White,70,25,2108
White,189,25,8
White,170,1,2
Black,89,13,1525
Black,24,65,1
Black,33,56,31
White,129,16,259
White,58,42,151
White,170,12,29
Black,32,41,2503
Black,9,12,17
Black,150,38,1
Black,121,54,1
Black,108,1,118
Black,26,1,1467
White,61,6,3899
White,56,25,4281
White,177,19,33
White,142,20,114
White,94,35,72
Black,186,2,4
Black,83,37,63
White,105,13,795
Black,131,7,134
Black,182,29,6
Black,18,2,1824
Black,19,41,7915
Black,93,4,1131
White,80,53,1
White,74,28,1370
White,72,57,1
White,106,2,203
White,54,15,5794
White,85,7,1003
White,13,53,1386
Black,56,24,3577
Black,34,21,7660
White,52,23,5686
Black,14,36,12942
Black,30,12,1523
White,44,60,1
White,63,39,237
White,111,46,1
Black,23,32,9580
White,186,8,6
White,70,35,372
Black,194,27,4
White,14,71,1
Black,131,4,176
White,25,39,8179
Black,182,13,16
Black,46,15,7034
Black,35,32,5245
White,14,13,56
Black,161,20,34
Black,66,27,1694
Black,48,35,1088
White,22,24,3650
Black,140,14,148
Black,29,25,8032
Black,43,42,483
Black,186,29,4
Black,91,50,1
White,150,29,20
Black,150,22,56
Black,50,55,2
Black,57,6,4777
Black,93,27,497
Black,41,62,1
White,139,19,229
Black,146,15,125
Black,88,42,11
Black,142,31,12
White,100,24,481
Black,44,50,47
White,97,47,2
Black,39,33,3506
Black,57,50,1
White,112,6,561
Black,45,2,3809
White,80,12,1657
Black,37,10,2026
Black,107,35,30
Black,59,30,1416
Black,130,28,87
Black,141,34,6
Black,31,52,192
White,43,60,1
White,142,24,74
White,63,25,3027
Black,40,9,2092
Black,79,40,29
Black,96,35,36
White,166,12,35
White,134,8,86
White,183,29,3
Black,161,3,17
White,56,4,4396
White,13,59,139
Black,94,33,85
White,66,6,3475
White,179,20,13
White,12,63,26
White,180,4,11
White,16,59,129
Black,48,19,7984
White,198,30,3
Black,155,25,41
Black,174,1,7
White,81,49,2
Black,129,47,1
White,152,5,67
White,181,19,20
Black,181,17,12
Black,179,3,12
Black,16,50,1474
Black,50,52,11
Black,134,13,205
White,34,1,1246
White,20,64,3
White,62,21,4271
White,30,40,5034
Black,141,16,136
Black,169,10,33
White,33,44,1880
White,66,9,1584
White,40,26,7379
Black,142,24,45
White,55,48,30
White,104,35,40
Black,72,47,8
White,94,47,1
Black,159,16,66
White,141,19,200
White,144,17,108
Black,137,30,27
Black,85,47,1
White,62,23,3608
Black,142,1,29
White,111,14,587
Black,142,17,131
White,14,45,8395
White,59,16,5389
White,200,30,1
Black,114,42,2
Black,24,16,1597
White,139,15,139
White,199,35,1
White,71,21,2736
Black,17,43,6754
Black,27,57,48
White,165,29,14
Black,10,34,14187
Black,12,15,102
Black,61,21,3801
Black,102,34,34
Black,127,38,1
Black,24,33,9403
White,65,5,3733
Black,105,1,143
White,115,32,54
Black,83,30,402
White,84,24,1038
Black,174,20,16
White,181,41,1
Black,162,29,9
White,79,35,232
Black,89,42,2
White,23,40,9017
White,77,6,2375
White,158,13,57
White,10,56,479
White,195,3,3
White,42,18,7292
White,110,28,237
Black,97,1,206
White,10,46,7283
Black,180,13,20
Black,93,46,3
Black,146,30,25
Black,168,26,12
White,194,33,1
White,159,39,1
Black,57,35,492
Black,75,17,3081
White,194,5,8
White,72,3,1829
White,148,31,11
White,83,20,1778
White,33,15,3246
Black,9,19,299
White,66,4,3299
Black,117,8,204
White,16,7,328
Black,72,54,1
Black,177,20,13
White,94,40,22
White,147,4,103
Black,40,49,119
White,24,33,9584
Black,131,32,20
Black,45,60,1
White,58,12,3465
White,15,41,12034
Black,40,33,3140
White,28,23,6013
White,77,46,11
White,190,24,5
White,103,1,102
Black,36,21,7855
Black,130,2,98
Black,67,31,672
White,196,5,11
Black,195,18,7
White,143,10,76
White,150,1,12
Black,99,39,6
Black,79,13,2271
Black,64,53,1
Black,11,18,286
Black,69,32,450
Black,74,21,2006
Black,14,24,2773
Black,12,20,613
White,132,18,176
Black,10,11,15
Black,178,29,7
White,57,20,5838
White,100,34,67
White,171,11,26
White,196,18,8
White,78,17,2594
Black,153,34,5
White,17,67,1
White,20,59,91
White,58,54,5
Black,29,64,3
Black,26,4,3364
Black,63,29,1399
Black,66,34,359
White,34,48,686
White,45,3,3987
White,21,60,50
Black,43,52,19
Black,28,20,5426
White,45,39,1073
White,147,21,55
Black,137,8,94
Black,29,54,110
Black,78,9,1188
White,189,8,4
Black,86,32,201
Black,48,55,6
White,24,43,6182
White,29,4,3104
Black,31,27,8231
Black,137,5,175
Black,9,47,2414
White,59,2,1765
White,82,15,2012
Black,49,13,5737
White,133,11,139
White,122,19,543
White,91,2,477
White,161,16,50
Black,97,29,290
White,152,18,69
White,123,39,2
White,91,40,20
Black,174,27,15
Black,95,34,55
Black,157,8,29
Black,126,31,28
Black,71,41,33
White,186,12,14
White,63,28,2437
Black,118,10,289
White,177,23,9
Black,151,28,26
White,11,4,890
White,47,11,2827
White,46,39,966
Black,136,3,90
White,112,24,286
Black,138,28,57
Black,154,20,63
Black,150,31,9
Black,49,18,7489
White,182,17,19
White,157,32,9
White,178,25,7
White,22,38,10197
Black,185,20,6
Black,149,27,44
White,37,41,1859
White,197,14,11
White,62,16,5033
Black,91,7,862
Black,196,13,13
White,31,9,596
Black,101,32,89
White,171,19,59
White,121,24,189
White,33,57,38
Black,36,23,8006
Black,11,65,2
Black,62,23,2910
White,64,51,2
Black,77,45,12
White,132,7,123
Black,81,29,642
Black,195,23,4
Black,94,27,454
Black,59,25,2853
Black,97,27,400
Black,100,43,1
Black,90,26,647
Black,157,15,72
White,146,42,1
White,33,45,1567
White,80,14,2072
Black,43,1,1660
Black,64,24,2337
White,31,47,1304
Black,167,34,1
Black,17,10,55
Black,37,61,1
Black,43,45,231
Black,66,17,4742
Black,55,3,4287
Black,121,21,175
White,178,32,2
White,126,27,122
Black,55,25,3559
Black,119,6,408
White,46,10,2298
White,37,49,314
Black,85,44,3
White,93,9,515
White,111,42,3
White,167,15,36
Black,28,40,4570
Black,22,58,57
Black,128,18,225
White,118,15,455
Black,75,16,3216
Black,66,15,4351
White,150,26,47
White,146,18,86
Black,116,3,275
Black,158,9,25
Black,81,40,30
White,158,21,24
White,99,3,539
Black,64,13,4052
White,168,8,22
White,88,48,1
Black,151,3,53
Black,47,6,4920
Black,130,21,111
Black,113,15,572
White,79,8,976
Black,9,42,7405
White,187,23,8
White,69,15,3502
Black,118,15,467
White,125,19,494
White,63,8,1857
Black,90,8,713
White,104,18,740
Black,156,1,16
Black,103,32,75
Black,88,48,1
White,52,4,4777
Black,91,38,21
Black,159,36,1
Black,26,35,8096
Black,18,44,5546
White,132,5,177
White,109,13,615
Black,45,55,4
White,32,12,1213
White,135,9,90
Black,83,33,168
Black,19,43,6101
Black,137,1,34
Black,150,15,98
White,18,27,3993
Black,175,16,25
White,113,4,439
Black,139,11,130
Black,158,31,4
Black,112,41,2
White,47,56,3
White,67,62,2
Black,41,36,1882
Black,119,20,307
White,104,39,12
Black,29,58,21
White,11,14,32
White,90,44,7
Black,88,34,76
Black,145,14,123
White,135,17,187
Black,165,10,33
Black,15,18,520
Black,105,33,58
Black,57,29,1924
White,27,43,4633
White,109,31,110
Black,81,25,924
Black,32,6,2463
White,196,12,4
Black,80,23,1179
Black,161,6,50
Black,13,27,5435
Black,78,32,293
White,50,44,212
White,89,33,196
White,23,34,9734
Black,129,18,177
Black,135,32,15
White,179,4,13
Black,105,4,674
White,28,37,7391
Black,136,18,142
White,102,35,49
Black,138,33,6
Black,96,17,1288
White,137,25,85
White,193,3,1
Black,133,15,203
White,11,39,13761
Black,168,28,11
White,28,48,1554
White,146,35,1
White,122,15,363
White,54,24,4957
Black,89,51,1
Black,122,10,210
Black,134,23,90
White,12,51,2502
White,166,4,38
White,149,29,34
White,74,35,310
White,15,48,5029
White,73,45,23
Black,93,41,4
White,66,53,1
White,29,3,3144
White,69,24,2344
Black,94,34,63
White,46,46,180
Black,54,3,4382
White,105,22,644
White,74,17,3023
Black,80,37,64
White,141,38,2
Black,83,8,962
Black,147,32,8
White,111,47,1
White,55,27,3936
Black,104,46,1
White,64,8,1752
White,118,6,438
White,114,18,439
Black,111,33,32
White,78,12,1875
Black,88,41,14
White,63,51,5
White,63,30,1731
White,57,47,40
Black,145,6,104
White,23,20,2002
Black,70,17,3955
White,79,40,66
Black,141,21,60
Black,42,59,1
White,37,13,2983
White,22,18,1007
Black,31,23,7796
White,118,37,6
Black,47,16,7550
Black,63,39,127
White,137,33,11
White,109,2,178
Black,66,25,1996
Black,50,14,6387
Black,194,2,8
Black,194,6,9
White,45,6,3874
White,49,11,3018
White,82,29,846
White,80,41,45
White,58,15,5247
Black,188,16,12
Black,22,60,24
Black,156,5,65
White,182,14,19
Black,117,2,178
Black,93,44,5
White,24,7,625
White,113,1,57
White,90,9,636
Black,148,1,14
White,185,24,8
White,138,46,1
Black,106,3,446
White,9,64,19
Black,162,12,47
White,154,20,59
Black,57,1,996
White,161,25,18
Black,158,18,46
White,52,16,6482
White,62,33,951
White,96,39,24
Black,137,21,72
Black,193,5,14
Black,36,13,3788
White,150,18,75
Black,94,37,18
White,161,28,25
White,13,47,6204
White,45,1,984
Black,44,37,1144
Black,37,63,1
White,69,36,319
White,83,35,153
Black,61,24,2821
White,148,13,97
Black,31,1,1746
Black,100,18,757
White,22,29,7133
White,169,37,1
Black,96,2,479
White,94,4,941
White,172,13,38
Black,88,2,635
White,142,33,15
Black,181,9,8
White,27,54,307
Black,19,1,866
White,82,8,855
White,136,8,65
White,128,10,140
Black,10,44,5452
White,107,30,185
White,128,13,269
White,55,5,4698
Black,23,20,3242
Black,48,25,4912
Black,11,32,12005
Black,124,6,290
White,135,36,3
Black,18,64,3
Black,96,11,836
White,181,7,8
White,165,12,43
Black,15,51,1035
Black,52,29,2411
White,97,49,1
Black,79,28,768
White,165,11,28
Black,45,32,2405
Black,192,32,1
White,12,45,8582
Black,160,16,54
Black,126,13,344
Black,68,40,68
Black,40,22,7708
Black,18,3,2233
Black,33,12,2194
Black,65,49,6
Black,30,61,14
Black,51,33,1220
Black,155,23,33
White,102,46,2
Black,124,10,191
White,104,23,409
Black,133,5,192
Black,15,55,245
White,116,37,8
White,32,47,1167
Black,13,41,9449
Black,119,30,71
White,169,8,15
Black,149,15,82
White,148,41,2
Black,125,25,123
Black,130,38,1
Black,45,16,7562
White,38,39,2253
Black,134,11,142
White,99,36,45
Black,182,6,22
Black,185,16,23
Black,62,37,226
White,90,14,1387
Black,169,30,6
Black,49,53,6
Black,89,28,505
White,144,25,52
White,121,42,1
White,169,5,38
Black,175,19,23
White,25,48,2357
White,33,9,725
White,83,43,21
Black,43,32,2725
Black,52,50,7
White,160,1,5
White,160,23,28
Black,21,8,226
White,160,19,81
White,104,1,122
Black,121,27,126
Black,95,44,2
White,24,3,2399
Black,84,44,4
Black,82,10,1112
Black,119,38,5
Black,90,6,1324
White,83,5,1847
White,34,24,7905
White,161,35,1
White,20,48,3690
White,154,27,33
Black,108,3,398
Black,111,34,15
White,16,55,653
Black,177,3,13
Black,53,6,5027
Black,199,20,4
White,73,39,143
White,30,61,13
Black,48,8,2832
White,196,25,8
White,114,12,425
White,44,54,15
Black,49,19,7855
Black,162,18,34
Black,15,3,1840
White,93,24,666
Black,25,59,21
Black,31,59,13
White,191,28,5
White,93,35,82
White,76,43,35
Black,18,17,631
White,89,47,3
White,111,3,314
White,65,33,805
White,9,63,21
White,62,49,18
White,65,8,1718
White,131,26,119
White,72,45,14
White,156,16,89
White,121,30,110
White,137,8,77
White,74,53,1
White,47,30,3852
White,35,5,3521
White,182,35,1
Black,71,10,1850
Black,74,40,39
White,47,51,27
Black,133,11,149
Black,49,50,18
Black,95,38,15
White,74,20,2699
White,44,18,7443
White,101,15,902
Black,29,29,8323
Black,149,28,31
Black,72,16,3594
Black,122,41,4
White,41,37,2256
Black,74,16,3359
White,29,24,6756
White,139,16,163
White,15,19,268
White,137,11,109
White,53,43,182
White,16,65,9
Black,32,65,1
Black,50,27,3759
White,62,5,4088
White,12,1,286
Black,75,45,11
Black,69,17,4234
White,164,13,49
White,98,27,483
White,74,32,588
Black,87,14,1678
White,26,7,746
White,151,34,2
Black,139,14,142
White,117,39,6
White,112,36,21
Black,176,16,30
Black,106,8,322
White,53,25,4903
White,40,19,7595
Black,18,53,502
White,162,8,23
White,102,22,775
White,118,9,197
White,11,20,198
White,40,32,4504
White,18,59,107
Black,149,14,92
White,78,7,1271
Black,31,14,2884
Black,34,10,1533
Black,43,39,909
White,53,32,1996
