color,fullmove,legal_moves,count
White,41,5,4323
White,117,43,3
Black,151,32,12
Black,62,4,4567
White,91,7,780
Black,63,23,2779
Black,181,7,17
Black,22,29,8870
Black,177,15,24
White,120,6,378
White,107,1,101
White,53,46,88
White,182,18,21
Black,14,65,1
Black,69,49,4
Black,191,12,11
Black,46,12,4669
White,79,33,370
Black,113,4,508
White,190,20,12
Black,79,31,352
White,135,22,169
Black,143,23,60
White,67,41,93
Black,66,26,1891
Black,51,47,32
White,160,2,13
Black,80,46,2
Black,50,50,10
Black,129,26,98
Black,14,57,93
Black,136,22,104
Black,60,48,4
Black,50,28,3109
White,67,45,33
White,70,3,1987
White,102,8,363
White,134,29,52
Black,34,28,7376
White,137,16,174
Black,10,36,13914
Black,148,34,2
Black,192,23,4
White,31,63,5
White,34,21,7047
Black,161,23,23
Black,72,25,1588
White,11,66,1
White,88,27,759
White,116,2,144
Black,143,35,1
White,12,61,63
White,19,35,10818
White,77,8,1005
Black,60,43,51
Black,49,44,131
Black,31,54,100
White,142,29,38
Black,173,24,18
White,191,8,7
Black,46,23,6143
White,14,69,1
Black,113,23,237
White,20,11,78
White,94,46,3
White,92,47,3
White,50,17,7042
White,144,8,57
White,50,49,30
Black,13,38,12572
White,68,27,2110
Black,110,38,11
Black,150,10,56
Black,81,17,2342
Black,33,23,7994
Black,59,6,4497
Black,60,4,4962
Black,42,21,7516
White,26,25,6281
White,32,52,313
Black,109,6,612
White,21,18,802
White,66,38,209
White,135,32,16
Black,55,22,4906
White,72,54,1
White,139,17,147
White,26,39,7574
White,66,24,2670
White,54,50,19
White,184,4,14
White,180,22,15
Black,181,32,2
Black,73,2,1300
Black,52,62,1
White,16,23,1166
Black,77,24,1224
White,171,18,18
Black,124,25,132
White,28,49,1297
White,139,22,120
White,171,32,4
Black,158,10,40
Black,75,5,2741
Black,20,26,6095
White,47,22,7094
White,80,16,2355
Black,65,1,682
White,10,16,56
Black,146,29,33
Black,149,29,24
White,154,1,8
White,118,11,266
White,169,33,1
Black,38,5,4832
White,10,36,12510
Black,43,15,7142
Black,44,12,4392
White,65,37,327
White,27,14,951
White,129,15,251
Black,106,4,630
Black,184,1,3
White,146,36,1
Black,93,52,1
Black,93,30,265
White,102,31,173
White,150,5,79
Black,107,16,807
White,69,46,24
White,37,42,1578
White,28,35,8075
White,102,7,483
White,156,11,58
Black,178,9,16
Black,160,25,23
White,51,55,2
Black,171,1,7
Black,121,30,61
Black,72,37,118
White,164,9,20
White,89,5,1352
Black,132,20,139
Black,186,8,7
White,75,19,3787
White,55,32,1721
Black,13,44,6013
Black,81,21,1437
White,13,25,1352
Black,79,26,1020
White,54,34,1269
Black,157,25,23
White,146,31,13
Black,52,47,29
Black,112,38,4
White,190,49,1
Black,93,22,987
White,46,24,6760
Black,15,11,36
White,160,6,51
White,160,15,48
Black,157,33,2
Black,16,27,5707
Black,23,64,1
White,20,43,8398
Black,15,34,12405
White,46,32,3069
White,117,31,64
White,137,24,77
White,185,16,24
Black,9,17,134
White,53,45,94
White,153,32,5
Black,39,58,7
White,178,24,13
White,84,19,2717
White,96,16,1234
Black,151,27,34
White,167,18,41
Black,177,30,8
White,107,6,695
Black,81,44,4
Black,88,28,495
Black,63,48,8
White,61,49,10
White,141,29,41
White,86,23,934
White,167,25,14
Black,83,29,550
Black,58,5,5049
Black,173,10,23
Black,14,63,2
Black,75,42,22
Black,52,53,5
White,58,7,2607
White,123,4,287
White,99,31,215
White,18,66,3
Black,111,6,577
White,14,17,134
Black,157,34,1
White,50,14,5473
White,32,43,2674
Black,38,14,5239
Black,24,60,17
Black,144,3,62
Black,12,46,3781
White,188,21,10
Black,200,25,5
White,167,21,27
Black,17,21,1730
White,132,15,200
Black,101,33,79
White,67,26,2425
White,167,22,45
White,197,16,11
Black,124,18,244
White,10,10,19
Black,53,41,165
White,128,25,139
White,92,34,115
White,142,28,51
Black,10,16,102
Black,16,30,8955
Black,137,35,4
Black,77,1,392
Black,78,44,14
Black,48,1,1379
Black,69,45,13
Black,44,20,7783
Black,35,29,6607
White,152,23,35
Black,48,20,7181
Black,11,53,437
Black,68,9,1811
White,10,57,318
Black,185,21,7
Black,33,13,2929
White,168,33,2
White,80,10,1027
Black,15,48,2471
White,73,13,2507
Black,77,37,71
Black,59,20,4955
White,79,29,908
White,112,7,311
White,136,6,175
Black,71,36,171
Black,48,43,182
White,104,2,227
White,149,1,18
White,75,10,1232
White,61,22,4414
Black,23,7,652
White,10,32,7821
White,24,1,836
White,175,14,29
Black,51,14,6298
Black,34,47,516
Black,60,10,2681
White,159,20,54
Black,129,25,100
Black,52,6,5029
White,69,49,4
Black,24,5,2153
Black,23,5,1955
White,58,51,2
White,173,33,1
White,27,1,1050
Black,129,20,172
White,124,40,2
Black,29,45,1747
Black,119,11,335
White,100,26,493
Black,87,10,925
Black,26,45,2451
Black,77,44,11
White,52,38,680
White,186,28,4
Black,21,53,442
White,176,29,7
Black,121,48,1
White,173,29,6
Black,83,22,1549
Black,64,42,45
Black,60,13,4702
White,84,3,1056
White,59,44,84
Black,27,31,8676
Black,166,4,37
White,69,33,603
Black,32,37,4283
Black,39,26,6800
Black,28,2,3389
Black,117,30,70
Black,67,22,3070
White,49,4,4943
Black,200,11,7
Black,71,45,9
Black,166,33,2
White,74,22,2600
White,169,24,25
White,24,30,8492
White,136,10,91
Black,17,1,721
Black,191,18,4
White,108,47,2
White,122,5,291
Black,182,18,11
Black,188,31,1
White,23,39,9426
White,133,10,117
White,162,7,24
White,11,13,21
White,92,26,775
White,17,14,86
Black,42,55,8
White,18,18,410
Black,54,54,4
Black,109,17,729
White,152,7,57
White,91,29,525
White,57,30,2398
White,24,16,911
White,186,9,6
White,43,19,7798
White,15,52,1859
Black,53,26,3630
White,134,38,2
White,128,6,252
White,199,13,12
White,132,14,192
White,192,4,5
Black,103,14,865
White,26,14,767
Black,13,21,1040
Black,197,26,3
White,192,17,5
Black,105,11,578
White,56,16,6060
White,49,46,138
Black,196,18,9
White,67,54,1
White,197,19,6
Black,61,17,5612
White,27,52,601
White,123,19,519
Black,18,7,421
Black,160,12,65
Black,55,42,111
White,94,3,660
White,78,38,102
White,75,34,318
Black,20,55,219
White,58,39,321
Black,165,3,18
White,88,2,526
White,48,40,658
Black,164,2,16
Black,132,16,196
Black,56,47,24
White,73,2,996
White,116,9,200
White,86,8,698
White,141,24,66
Black,101,39,7
Black,38,8,1862
Black,45,48,73
White,80,3,1245
White,175,22,21
White,62,50,7
White,28,21,4859
White,42,46,337
Black,151,10,53
Black,30,24,7781
Black,158,7,43
Black,74,46,7
White,71,5,2985
Black,123,15,385
White,128,22,241
Black,63,53,3
White,11,3,877
White,29,22,5950
White,40,58,8
Black,35,55,27
White,190,31,3
White,73,14,2739
White,46,6,3997
White,106,38,13
Black,89,43,4
White,84,16,1962
Black,65,42,46
Black,16,60,24
Black,185,10,7
White,93,47,1
White,96,13,1092
White,18,25,2563
Black,60,23,3138
White,124,10,140
White,128,49,1
Black,117,23,201
White,124,11,196
Black,75,38,82
Black,170,27,18
Black,46,56,11
White,176,5,19
White,182,16,15
White,21,36,10773
White,129,27,117
White,64,16,4659
White,134,20,150
White,124,7,169
White,61,5,4177
White,70,51,3
Black,170,26,11
White,85,23,1011
White,83,40,48
White,169,4,26
Black,33,30,6928
Black,48,57,4
White,136,43,1
Black,14,43,7318
White,28,13,844
White,73,37,190
Black,152,2,33
Black,22,3,2945
White,53,44,116
White,12,16,78
White,17,40,11801
White,72,24,2008
Black,75,29,822
Black,107,40,4
White,55,31,2088
Black,124,32,23
White,69,8,1486
White,107,25,348
Black,24,52,469
Black,135,28,55
Black,40,44,448
White,178,10,17
White,86,6,1677
Black,196,3,7
White,139,2,41
Black,39,16,6931
Black,194,18,6
White,91,32,204
Black,40,60,1
White,73,17,3237
White,104,45,2
Black,18,42,7393
Black,173,3,15
White,107,10,371
White,160,9,27
White,165,28,19
Black,119,42,1
White,87,12,1372
Black,108,26,253
White,169,19,51
White,109,7,371
White,134,9,81
White,179,21,12
White,86,33,220
Black,41,28,5185
Black,178,6,26
White,20,9,88
White,61,21,4434
White,172,6,29
White,126,14,284
Black,130,7,136
Black,136,20,129
Black,53,42,144
White,80,4,1877
Black,163,21,17
Black,128,21,138
Black,155,13,76
Black,66,24,2224
White,15,22,733
White,23,5,1560
Black,32,52,157
Black,200,20,3
White,76,51,1
Black,46,57,1
White,39,35,3570
White,62,14,4237
White,43,7,2383
Black,93,3,788
White,151,19,132
White,127,33,18
White,108,19,1079
Black,21,21,2908
Black,89,18,1453
White,107,31,118
Black,66,33,443
White,114,17,517
White,86,40,31
Black,161,8,26
White,104,6,785
Black,46,8,2759
Black,71,17,3802
White,83,46,7
White,19,29,6141
Black,81,46,3
White,110,16,693
Black,11,27,5386
White,26,67,1
Black,83,5,1835
Black,47,55,5
White,60,57,1
Black,90,19,2055
White,52,32,2091
White,148,14,105
White,107,11,448
Black,21,36,10384
Black,187,6,17
White,120,33,26
White,135,23,99
Black,108,35,16
Black,99,7,595
White,84,42,13
White,140,39,3
White,94,51,1
White,103,28,349
White,166,21,21
White,56,18,6057
Black,50,29,2646
White,17,11,45
Black,44,58,1
Black,37,39,1867
White,22,30,7999
Black,11,44,5608
White,42,41,1039
White,145,12,105
Black,137,20,115
White,148,24,53
Black,39,30,4715
Black,50,20,6757
Black,26,30,8949
White,21,14,232
White,190,6,14
White,55,19,7155
Black,25,1,1326
Black,95,40,7
White,107,2,220
Black,74,8,1408
Black,133,40,2
Black,72,32,390
White,134,11,141
White,52,6,4284
Black,64,47,13
Black,61,36,322
White,160,17,50
Black,109,3,367
Black,85,33,133
Black,98,1,190
White,25,56,194
White,157,36,3
White,77,7,1352
White,139,32,13
Black,124,19,469
Black,16,18,629
Black,33,25,8117
Black,34,64,1
Black,71,2,1467
White,102,29,312
White,52,35,1210
White,123,21,201
Black,200,21,1
Black,56,25,3424
White,186,23,3
Black,66,12,3235
White,186,27,12
White,78,26,1395
Black,163,19,58
Black,50,32,1632
Black,186,25,10
Black,19,58,75
Black,196,26,2
White,62,62,1
Black,34,54,52
Black,152,37,2
White,99,48,1
White,77,31,610
White,186,2,3
Black,106,7,515
White,136,19,264
White,126,39,3
White,37,38,3021
Black,61,26,2415
White,87,45,8
White,36,36,4194
Black,121,20,262
White,85,47,1
Black,135,12,170
White,98,39,18
Black,59,54,2
Black,57,5,5400
White,168,32,3
White,101,44,1
White,75,13,2300
