"Name","Perf/rating","Perf/rating_error"
"eval_16384_(hv[768]→512)x2→32→1",0.0,0.0
"eval_16384_(hv+h+v[960]→512)x2→32→1",-4.6,5.0
"eval_16384_(hv+d1+d2[1128]→512)x2→32→1",-33.3,5.0
"eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",-57.7,4.8
"eval_16384_(h+v+d1+d2[552]→512)x2→32→1",-172.5,4.8
"eval_16384_(h+v[192]→512)x2→32→1",-368.1,5.7
"eval_16384_(d1+d2[360]→512)x2→32→1",-474.5,6.4
