"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","checkpoint_interval","command","dataset","epoch_size","epochs","feature_set","gamma","l1_size","l2_size","learning_rate","method","metric.goal","metric.name","name","notes","num_features","parameters.batch_sizes","parameters.epochss","parameters.feature_sets","parameters.gammas","parameters.l1_sizes","parameters.l2_sizes","parameters.learning_rates","parameters.wandb_projects","perf_interval","program","puzzle_interval","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/bishopEndgame","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleCheck","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/middlegame","Puzzles/moveAccuracy.max","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/lr","Train/samples","Train/train_loss.min","Train/val_loss.min","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"eval_16384_(h+v[192]→512)x2→32→1","","finished","-","","","2024-09-24T18:30:21.000Z","6673","2mo06tcq","eval_16384_(h+v[192]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","h+v","0.99","512","32","0.0005","eval","","","","","192","","","","","","","","","0","","8","cs-master-thesis","0.7223880597014926","0.7599557522123894","0.7111111111111111","0.7151515151515152","0.5301204819277109","0.8631578947368421","0.6595744680851063","0.46511627906976744","0.6984829329962073","0.5482954545454546","0.7516339869281046","0.8142857142857143","0.7105263157894737","0.7529411764705882","0.6918032786885245","0.8765432098765432","0.6518987341772152","0.8625730994152047","0.801980198019802","0.7613636363636364","0.8901098901098901","0.6666666666666666","0.7058823529411765","0.7105263157894737","0.7578616352201258","0.803921568627451","0.7497879558948262","0.8751346982758621","0.8083832335329342","0.49390243902439024","0.6832579185520362","0.7458563535911602","0.6458333333333334","0.9411764705882352","0.7317073170731707","0.392156862745098","0.9403669724770642","0.9717741935483872","0.9342105263157896","0.8865979381443299","0.8670886075949367","0.7422360248447205","0.6306620209059234","0.44036697247706424","0.30939226519337015","0.15934065934065933","0.7022900763358778","0.5938697318007663","0.853595890410959","0.8571428571428571","0.7792207792207793","0.8817204301075269","0.7560975609756098","0.4666666666666667","0.8863636363636364","0.4352941176470588","0.00003815749195329693","25702039552","0.005821927094103971","0.005812568533491796","-0.02650487795472145","-0.005361220799386501","3.4496335983276367"
"eval_16384_(d1+d2[360]→512)x2→32→1","","finished","-","","","2024-09-24T20:21:41.000Z","7130","2mo06tcq","eval_16384_(d1+d2[360]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","d1+d2","0.99","512","32","0.0005","eval","","","","","360","","","","","","","","","0","","8","cs-master-thesis","0.6925373134328359","0.7511061946902655","0.6444444444444445","0.7090909090909091","0.6144578313253012","0.8315789473684211","0.6382978723404256","0.46511627906976744","0.6801517067003793","0.5568181818181818","0.6993464052287581","0.7761904761904762","0.7894736842105263","0.6823529411764706","0.6950819672131148","0.8024691358024691","0.6265822784810127","0.8304093567251462","0.7722772277227723","0.6931818181818182","0.8901098901098901","0.6587301587301587","0.7176470588235294","0.6899313501144165","0.7012578616352201","0.7549019607843137","0.7175572519083969","0.8669181034482759","0.7544910179640718","0.5365853658536586","0.6832579185520362","0.7458563535911602","0.7083333333333334","0.9411764705882352","0.7317073170731707","0.4078431372549019","0.963302752293578","0.9516129032258064","0.9210526315789472","0.8831615120274914","0.8386075949367089","0.7111801242236024","0.6167247386759582","0.44954128440366975","0.26519337016574585","0.10989010989010987","0.6717557251908397","0.5478927203065134","0.8416095890410958","0.8571428571428571","0.7272727272727273","0.8709677419354839","0.7317073170731707","0.4457142857142858","0.8636363636363636","0.4823529411764706","0.00003815749195329693","25702039552","0.006727289128697662","0.0067026126246600955","-0.0308334119617939","0.022499609738588333","-3.8690710067749023"
"eval_16384_(h+v+d1+d2[552]→512)x2→32→1","","finished","-","","","2024-09-24T22:20:37.000Z","8854","2mo06tcq","eval_16384_(h+v+d1+d2[552]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","552","","","","","","","","","0","","8","cs-master-thesis","0.7343283582089553","0.7876106194690266","0.7555555555555555","0.7515151515151515","0.6506024096385542","0.8736842105263158","0.6914893617021277","0.5697674418604651","0.7237673830594185","0.5852272727272727","0.7581699346405228","0.8523809523809524","0.7631578947368421","0.7411764705882353","0.7327868852459016","0.8641975308641975","0.6265822784810127","0.8567251461988304","0.7722772277227723","0.7613636363636364","0.912087912087912","0.6825396825396826","0.788235294117647","0.7345537757437071","0.7735849056603774","0.8333333333333334","0.7599660729431722","0.8898168103448276","0.8203592814371258","0.5426829268292683","0.7239819004524887","0.7513812154696132","0.7083333333333334","0.9117647058823528","0.7560975609756098","0.4549019607843137","0.963302752293578","0.9758064516129032","0.944078947368421","0.9312714776632304","0.8670886075949367","0.7608695652173914","0.662020905923345","0.481651376146789","0.3314917127071823","0.23626373626373623","0.6870229007633588","0.632183908045977","0.8707191780821918","0.8791208791208791","0.8181818181818182","0.8924731182795699","0.7560975609756098","0.5104761904761905","0.9090909090909092","0.4117647058823529","0.00003815749195329693","25702039552","0.0038517859115110905","0.003889057855061628","-0.015654264017939568","-0.0069748591631650925","-2.6487205028533936"
"eval_16384_(hv[768]→512)x2→32→1","","finished","-","","","2024-09-25T00:48:19.000Z","6655","2mo06tcq","eval_16384_(hv[768]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","512","32","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7343283582089553","0.8064159292035398","0.7555555555555555","0.7090909090909091","0.6867469879518072","0.8947368421052632","0.7340425531914894","0.5813953488372093","0.7364096080910241","0.5909090909090909","0.7843137254901961","0.861904761904762","0.7894736842105263","0.7529411764705882","0.7377049180327869","0.9629629629629628","0.6455696202531646","0.8801169590643275","0.8613861386138614","0.8181818181818182","0.8571428571428571","0.6984126984126984","0.7764705882352941","0.7643020594965675","0.7861635220125787","0.8137254901960784","0.7905004240882103","0.9001885775862069","0.8383233532934131","0.5853658536585366","0.7330316742081447","0.7734806629834254","0.7291666666666666","0.7941176470588235","0.8536585365853658","0.4980392156862745","0.9587155963302753","0.967741935483871","0.9703947368421052","0.9312714776632304","0.8892405063291139","0.8012422360248447","0.686411149825784","0.5045871559633027","0.3867403314917127","0.22527472527472528","0.7022900763358778","0.632183908045977","0.8861301369863014","0.8791208791208791","0.8831168831168831","0.913978494623656","0.7804878048780488","0.5123809523809524","0.9772727272727272","0.4705882352941176","0.00003815749195329693","25702039552","0.003132997312827761","0.003159655200303063","-0.021058805286884308","0.011456791311502457","-6.283696174621582"
"eval_16384_(hv+h+v[960]→512)x2→32→1","","finished","-","","","2024-09-26T07:17:28.000Z","8003","2mo06tcq","eval_16384_(hv+h+v[960]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v","0.99","512","32","0.0005","eval","","","","","960","","","","","","","","","0","","8","cs-master-thesis","0.7671641791044777","0.8064159292035398","0.8","0.7515151515151515","0.7590361445783133","0.8736842105263158","0.6914893617021277","0.5697674418604651","0.7402022756005057","0.6022727272727273","0.7712418300653595","0.8428571428571429","0.7631578947368421","0.7764705882352941","0.7549180327868853","0.925925925925926","0.6645569620253164","0.8713450292397661","0.8118811881188119","0.7840909090909091","0.8791208791208791","0.6904761904761905","0.7764705882352941","0.7631578947368421","0.789308176100629","0.7941176470588235","0.7794741306191688","0.8968211206896551","0.8083832335329342","0.5792682926829268","0.751131221719457","0.8066298342541437","0.75","0.9117647058823528","0.8292682926829268","0.5176470588235295","0.9587155963302753","0.9717741935483872","0.9539473684210528","0.9381443298969072","0.8765822784810127","0.7950310559006211","0.7247386759581882","0.518348623853211","0.35911602209944754","0.23626373626373623","0.6793893129770993","0.6475095785440613","0.8818493150684932","0.8681318681318682","0.7922077922077922","0.8709677419354839","0.7926829268292683","0.5295238095238095","0.9318181818181818","0.4941176470588235","0.00003815749195329693","25702039552","0.003050374876519209","0.003080462409996786","-0.004348051734268665","-0.006605673115700483","-6.346506118774414"
"eval_16384_(hv+d1+d2[1128]→512)x2→32→1","","finished","-","","","2024-09-25T06:02:54.000Z","8783","2mo06tcq","eval_16384_(hv+d1+d2[1128]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv+d1+d2","0.99","512","32","0.0005","eval","","","","","1128","","","","","","","","","0","","8","cs-master-thesis","0.7761194029850746","0.8019911504424779","0.7777777777777778","0.7333333333333333","0.7951807228915663","0.8526315789473684","0.7127659574468085","0.5813953488372093","0.7364096080910241","0.6136363636363636","0.7647058823529411","0.819047619047619","0.7894736842105263","0.7764705882352941","0.7573770491803279","0.9135802469135802","0.6582278481012658","0.8421052631578947","0.8514851485148515","0.8295454545454546","0.8791208791208791","0.6984126984126984","0.8235294117647058","0.7494279176201373","0.8050314465408805","0.8431372549019608","0.7675996607294318","0.8935883620689655","0.8083832335329342","0.573170731707317","0.7285067873303167","0.7900552486187845","0.7291666666666666","0.8529411764705882","0.7560975609756098","0.5019607843137255","0.9587155963302753","0.9798387096774194","0.9407894736842104","0.9312714776632304","0.8829113924050633","0.7639751552795031","0.7212543554006968","0.5091743119266054","0.3977900552486188","0.21978021978021975","0.7480916030534351","0.6590038314176245","0.886986301369863","0.8901098901098901","0.8571428571428571","0.8817204301075269","0.7804878048780488","0.52","0.9318181818181818","0.4705882352941176","0.00003815749195329693","25702039552","0.003046111561863611","0.003087807532149615","-0.007252223789691925","-0.013580814003944395","-1.4634137153625488"
"eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","","finished","-","","","2024-09-25T08:29:24.000Z","10204","2mo06tcq","eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv+h+v+d1+d2","0.99","512","32","0.0005","eval","","","","","1320","","","","","","","","","0","","8","cs-master-thesis","0.7432835820895523","0.7809734513274337","0.7111111111111111","0.7272727272727273","0.7228915662650602","0.8631578947368421","0.6914893617021277","0.5813953488372093","0.7332490518331226","0.5909090909090909","0.7647058823529411","0.8142857142857143","0.7631578947368421","0.7411764705882353","0.75","0.9506172839506172","0.6708860759493671","0.8771929824561403","0.8118811881188119","0.8181818181818182","0.8571428571428571","0.6666666666666666","0.8","0.7425629290617849","0.789308176100629","0.8333333333333334","0.7574215436810857","0.8902209051724138","0.8023952095808383","0.5792682926829268","0.7013574660633484","0.7734806629834254","0.75","0.8823529411764706","0.7804878048780488","0.4862745098039216","0.9403669724770642","0.9717741935483872","0.950657894736842","0.9381443298969072","0.8765822784810127","0.7763975155279503","0.6933797909407665","0.47706422018348627","0.3701657458563536","0.2087912087912088","0.6946564885496184","0.6666666666666666","0.875","0.8681318681318682","0.8441558441558441","0.913978494623656","0.7560975609756098","0.518095238095238","0.8863636363636364","0.4352941176470588","0.00003815749195329693","25702039552","0.0030272084331096592","0.0030741818178233325","-0.0011538633843883872","-0.008829282596707344","-5.041206359863281"
